Millis,Front,Left,Right,EncL,EncR
397276,2245,3064,1114,96233,96000
397332,2252,3046,1104,96233,96000
397387,2245,3022,1037,96233,95997
397443,2275,3002,1067,96233,95997
397498,2244,3038,1074,96233,95997
397553,2255,3032,1069,96233,95997
397609,2244,2991,1066,96233,95997
397664,2247,3007,1061,96233,95997
397720,2254,3028,1072,96233,95997
397775,2276,3022,1063,96233,95997
397830,2245,3029,1035,96233,95997
397886,2248,3026,1063,96233,95997
397941,2239,3024,1065,96233,95997
397997,2242,3006,1058,96233,95997
398052,2247,3011,1059,96233,95997
398108,2242,3013,1043,96233,95997
398163,2246,3030,1051,96233,95997
398218,2255,3008,1038,96233,95997
398274,2246,3021,1065,96233,95991
398329,2200,2984,1062,96233,95977
398385,2203,2957,1005,96233,95970
398440,2207,2971,1051,96233,95963
398495,2200,2938,1038,96233,95962
398551,2171,2928,1028,96233,95961
398606,2177,2956,1014,96233,95956
398662,2155,2898,1064,96233,95936
398717,2105,2867,1061,96221,95916
398773,2016,2846,1066,96207,95879
398828,1924,2757,1036,96206,95832
398883,1813,2641,1025,96211,95781
398939,1695,2472,1451,96228,95732
398994,1555,2261,1481,96236,95684
399050,1423,2104,1422,96242,95636
399105,1332,1914,1548,96243,95602
399160,1351,1805,1544,96243,95599
399216,1360,1826,1535,96238,95599
399271,1335,1898,1526,96235,95599
399327,1331,1896,1545,96235,95599
399382,1364,1922,1547,96235,95609
399438,1372,1979,1474,96238,95620
399493,1427,1964,1447,96241,95634
399548,1445,2032,1453,96241,95647
399604,1472,2057,1451,96254,95661
399659,1524,2033,1418,96265,95677
399715,1573,2010,1424,96281,95697
399770,1614,1987,1411,96303,95729
399825,1726,1961,1458,96326,95761
399881,1802,1909,1397,96360,95797
399936,1853,1820,1400,96394,95812
399992,1856,1823,1402,96421,95814
400047,1839,2234,1409,96437,95814
400102,1854,2224,1399,96437,95814
400158,1863,2226,1406,96437,95814
400213,1832,2249,1399,96437,95814
400269,1838,2232,1410,96437,95814
400324,1855,2213,1398,96437,95814
400380,1806,2247,1376,96437,95813
400435,1642,2178,1377,96439,95799
400490,1622,2182,1503,96449,95799
400546,1597,2203,1492,96449,95797
400601,1627,2208,1501,96449,95791
400657,1559,2179,1547,96449,95783
400712,1509,2285,1563,96458,95766
400767,1377,2307,1607,96488,95731
400823,1139,2401,1891,96529,95702
400878,1027,2547,2032,96599,95695
400934,391,2639,2210,96745,95696
400989,708,2685,2780,96895,95731
401045,613,2599,2981,97039,95763
401100,656,2502,3219,97187,95814
401155,722,2467,3469,97291,95907
401211,757,2390,3454,97421,96052
401266,860,2358,3473,97580,96210
401322,1004,2291,3495,97764,96402
401377,1209,2321,3504,97937,96581
401432,1426,2314,3470,98079,96744
401488,1716,2318,3371,98203,96890
401543,2165,2352,3358,98326,97014
401599,2507,2375,3325,98401,97093
401654,2789,2352,3369,98421,97124
401710,2804,2392,3346,98425,97126
401765,2818,2391,3333,98425,97126
401820,2829,2361,3318,98425,97126
401876,2807,2392,3318,98425,97126
401931,2818,2368,3329,98425,97126
401987,2841,2373,3338,98425,97126
402042,2832,2365,3318,98425,97130
402097,2832,2374,3303,98425,97133
402153,2741,2376,3171,98397,97158
402208,2601,2514,2989,98345,97228
402264,2161,2593,2641,98291,97338
402319,1806,2617,2982,98233,97480
402375,2180,2183,3281,98167,97665
402430,2810,1719,3203,98085,97860
402485,2883,984,2608,98017,98024
402541,2467,1017,2217,97956,98182
402596,1476,912,2983,97885,98323
402652,912,764,3479,97820,98432
402707,414,2206,3384,97763,98534
402762,491,2504,3211,97743,98601
402818,514,2548,3153,97743,98604
402873,511,2551,3137,97743,98600
402929,546,2540,3160,97743,98600
402984,538,2539,3153,97743,98600
403039,539,2551,3151,97743,98600
403095,514,2543,3164,97743,98600
403150,512,2546,3149,97743,98600
403206,514,2550,3172,97743,98600
403261,493,2553,3156,97743,98600
403317,515,2530,3139,97743,98600
403372,516,2565,3177,97743,98600
403427,523,2556,3175,97743,98600
403483,512,2542,3151,97743,98600
403538,514,2547,3141,97743,98600
403594,509,2551,3146,97743,98600
403649,513,2549,3153,97743,98600
403704,488,2552,3172,97743,98600
403760,513,2549,3141,97743,98600
403815,514,2551,3151,97743,98600
403871,529,2563,3159,97743,98600
403926,513,2541,3158,97743,98600
403981,511,2543,3167,97743,98600
404037,513,2544,3144,97743,98600
404092,513,2524,3152,97743,98600
404148,516,2548,3176,97743,98600
404203,508,2551,3141,97743,98600
404259,512,2554,3145,97743,98600
404314,526,2568,3170,97743,98600
404369,511,2537,3172,97743,98600
404425,537,2544,3139,97743,98600
404480,508,2546,3152,97743,98600
404536,514,2522,3150,97743,98600
404591,511,2556,3159,97743,98600
404646,515,2550,3156,97749,98600
