Millis,Front,Left,Right,EncL,EncR
126485,294,468,1600,0,0
126541,269,394,1606,0,0
126596,327,432,1618,0,0
126651,269,413,1605,0,0
126707,279,398,1623,0,0
126762,327,622,1584,0,0
126818,320,1256,1588,0,0
126873,268,2846,1586,0,0
126928,244,2662,1602,0,0
126984,290,2594,1579,0,0
127039,293,2598,1582,0,0
127095,294,2203,1585,0,0
127150,323,1835,1618,0,0
127205,272,1157,1578,0,0
127261,240,2352,1603,0,0
127316,319,2475,1613,0,0
127372,291,1259,1630,0,0
127427,279,727,1650,0,0
127482,168,620,1673,-3,0
127538,27,1736,1327,-4,0
127593,26,1284,327,-4,0
127648,37,1305,373,-4,0
127704,26,1215,301,-4,0
127759,49,1055,993,-4,0
127815,26,911,1378,-4,0
127870,37,805,1200,-4,0
127925,26,1111,1061,-4,0
127981,27,1306,1036,-4,0
128036,30,3380,1134,-4,0
128092,26,3399,1262,-4,0
128147,27,3355,1341,-4,0
128202,35,3164,1425,-4,0
128258,36,2827,1784,-4,0
128313,50,2469,2057,-4,0
128369,101,2275,2203,-4,0
128424,27,3244,2555,-4,0
128479,26,3394,2712,-4,0
128535,39,3510,2941,-4,0
128590,35,3447,2574,-4,0
128645,39,3402,2394,-4,0
