ms,x,y,heading,flood,f,l,r,err,corr,pwmL,pwmR,encL,encR,event
22,0,0,1,255,0,0,0,0,0,0,0,0,0,START
176,0,0,1,30,611,2418,2194,224,12,142,118,0,0,MOVE
278,0,0,1,30,633,2429,1749,680,16,146,114,57,48,MOVE
379,0,0,1,30,692,2404,1504,900,22,152,108,174,140,MOVE
481,0,0,1,30,744,2348,1653,695,15,145,115,319,251,MOVE
582,0,0,1,30,834,2269,1697,572,14,144,116,465,372,MOVE
703,0,1,1,29,0,0,0,0,0,0,0,0,0,CELL_DONE
708,0,1,1,29,0,0,0,0,0,0,0,0,0,MOVE
839,0,1,1,29,981,2108,1702,406,7,137,123,0,0,MOVE
941,0,1,1,29,1005,2111,1697,414,9,139,121,62,55,MOVE
1042,0,1,1,29,1101,2054,1649,405,10,140,120,175,153,MOVE
1143,0,1,1,29,1235,1978,1630,348,8,138,122,314,272,MOVE
1245,0,1,1,29,1447,1911,1558,353,8,138,122,462,401,MOVE
1373,0,2,1,28,0,0,0,0,0,0,0,0,0,CELL_DONE
1377,0,2,1,28,0,0,0,0,0,0,0,0,0,MOVE
1509,0,2,1,28,1944,1798,1212,586,20,105,65,0,0,MOVE
1610,0,2,1,28,2015,1775,1228,547,13,98,72,38,30,MOVE
1712,0,2,1,28,2152,1692,1231,461,11,96,74,94,75,MOVE
1813,0,2,1,28,2365,1479,1283,196,4,89,81,159,128,MOVE
1869,0,2,1,28,2541,1547,1302,0,0,91,79,194,159,WALL_STOP
1899,0,3,1,27,0,0,0,0,0,0,0,0,0,CELL_DONE
1901,0,3,1,27,0,0,0,0,0,0,0,0,0,MOVE
2033,0,3,1,27,0,0,0,0,0,0,0,0,0,TURN_R_START
2627,0,3,2,27,0,0,0,0,0,0,0,0,0,TURN_R_DONE
2631,0,3,2,27,2541,1866,1303,0,0,0,0,0,0,WALL_STOP
2661,1,3,2,26,0,0,0,0,0,0,0,0,0,CELL_DONE
2665,1,3,2,26,0,0,0,0,0,0,0,0,0,MOVE
2796,1,3,2,26,348,2703,2508,195,3,133,127,0,0,MOVE
2898,1,3,2,26,317,2704,2511,193,5,135,125,60,56,MOVE
2999,1,3,2,26,323,2730,2479,251,6,136,124,166,158,MOVE
3101,1,3,2,26,346,2764,2468,296,7,137,123,295,280,MOVE
3201,1,3,2,26,319,2796,2458,338,8,138,122,433,406,MOVE
3302,1,3,2,26,347,2810,2463,347,8,138,122,574,529,MOVE
3353,2,3,2,25,0,0,0,0,0,0,0,0,0,CELL_DONE
3356,2,3,2,25,0,0,0,0,0,0,0,0,0,MOVE
3488,2,3,2,25,343,2822,2475,347,8,138,122,0,0,MOVE
3590,2,3,2,25,343,2792,2487,305,7,137,123,61,54,MOVE
3691,2,3,2,25,395,2824,2510,314,7,137,123,169,148,MOVE
3793,2,3,2,25,419,2795,2481,314,7,137,123,295,259,MOVE
3894,2,3,2,25,447,2794,2490,304,7,137,123,426,381,MOVE
3995,2,3,2,25,471,2799,2513,286,6,136,124,557,506,MOVE
4061,3,3,2,24,0,0,0,0,0,0,0,0,0,CELL_DONE
4063,3,3,2,24,0,0,0,0,0,0,0,0,0,MOVE
4195,3,3,2,24,515,2820,2564,256,7,137,123,0,0,MOVE
4297,3,3,2,24,525,2806,2554,252,6,136,124,58,52,MOVE
4397,3,3,2,24,530,2793,2584,209,5,135,125,165,151,MOVE
4499,3,3,2,24,585,2766,2621,145,3,133,127,293,267,MOVE
4600,3,3,2,24,633,2788,2647,141,2,132,128,424,393,MOVE
4702,3,3,2,24,684,2293,2639,-346,-8,122,138,558,523,MOVE
4767,4,3,2,23,0,0,0,0,0,0,0,0,0,CELL_DONE
4771,4,3,2,23,0,0,0,0,0,0,0,0,0,MOVE
4903,4,3,2,23,0,0,0,0,0,0,0,0,0,TURN_L_START
5508,4,3,1,23,0,0,0,0,0,0,0,0,0,TURN_L_DONE
5513,4,3,1,23,734,1283,2636,-1353,-50,80,180,0,0,MOVE
5518,4,3,1,23,3675,2384,1261,0,0,80,180,4,4,WALL_STOP
5548,4,4,1,22,0,0,0,0,0,0,0,0,0,CELL_DONE
5552,4,4,1,22,0,0,0,0,0,0,0,0,0,MOVE
5684,4,4,1,22,0,0,0,0,0,0,0,0,0,TURN_R_START
6265,4,4,2,22,0,0,0,0,0,0,0,0,0,TURN_R_DONE
6270,4,4,2,22,3688,2396,1286,0,0,0,0,0,1,WALL_STOP
6300,5,4,2,21,0,0,0,0,0,0,0,0,0,CELL_DONE
6304,5,4,2,21,0,0,0,0,0,0,0,0,0,MOVE
6437,5,4,2,21,0,0,0,0,0,0,0,0,0,TURN_L_START
7053,5,4,1,21,0,0,0,0,0,0,0,0,0,TURN_L_DONE
7058,5,4,1,21,789,872,2394,-1522,-43,87,173,0,0,MOVE
7160,5,4,1,21,440,2980,1350,1630,40,170,90,112,88,MOVE
7205,5,4,1,21,413,3718,1370,2348,50,160,55,176,122,CRASH_L
7215,5,4,1,21,409,3718,1370,2348,50,160,55,188,123,CRASH_L
7220,5,4,1,21,409,3706,1377,2329,50,160,55,194,124,CRASH_L
7225,5,4,1,21,412,3705,1377,2328,50,160,55,200,124,CRASH_L
7230,5,4,1,21,418,3705,1379,2326,50,160,55,206,125,CRASH_L
7235,5,4,1,21,412,3718,1371,2347,50,160,55,212,125,CRASH_L
7240,5,4,1,21,391,3718,1375,2343,50,160,55,218,125,CRASH_L
7245,5,4,1,21,391,3698,1375,2323,50,160,55,222,125,CRASH_L
7250,5,4,1,21,391,3694,1375,2319,50,160,55,227,125,CRASH_L
7256,5,4,1,21,417,3690,1375,2315,50,160,55,232,125,CRASH_L
7261,5,4,1,21,417,3687,1376,2311,50,160,55,236,125,CRASH_L
7263,5,4,1,21,417,3687,1376,2311,50,160,55,239,125,MOVE
7268,5,4,1,21,417,3687,1379,2308,50,160,55,243,125,CRASH_L
7273,5,4,1,21,439,3690,1379,2311,50,160,55,247,125,CRASH_L
7278,5,4,1,21,439,3691,1377,2314,50,160,55,252,125,CRASH_L
7283,5,4,1,21,439,3696,1374,2322,50,160,55,256,125,CRASH_L
7289,5,4,1,21,426,3721,1374,2347,50,160,55,260,125,CRASH_L
7294,5,4,1,21,423,3724,1380,2344,50,160,55,264,125,CRASH_L
7299,5,4,1,21,423,3724,1380,2344,50,160,55,268,125,CRASH_L
7304,5,4,1,21,391,3715,1380,2335,50,160,55,273,125,CRASH_L
7309,5,4,1,21,391,3715,1355,2360,50,160,55,277,125,CRASH_L
7321,5,4,1,21,389,3715,1355,2360,50,160,55,287,125,CRASH_L
7327,5,4,1,21,389,3717,1351,2366,50,160,55,291,125,CRASH_L
7332,5,4,1,21,388,3717,1351,2366,50,160,55,295,125,CRASH_L
7337,5,4,1,21,369,3713,1351,2362,50,160,55,299,125,CRASH_L
7342,5,4,1,21,369,3707,1351,2356,50,160,55,302,125,CRASH_L
7347,5,4,1,21,372,3707,1354,2353,50,160,55,306,125,CRASH_L
7352,5,4,1,21,415,3724,1388,2336,50,160,55,310,125,CRASH_L
7357,5,4,1,21,416,3724,1388,2336,50,160,55,314,125,CRASH_L
7362,5,4,1,21,416,3717,1377,2340,50,160,55,318,125,CRASH_L
7367,5,4,1,21,392,3717,1376,2341,50,160,55,322,125,CRASH_L
7370,5,4,1,21,392,3717,1376,2341,50,160,55,324,125,MOVE
7375,5,4,1,21,392,3738,1376,2362,50,160,55,328,125,CRASH_L
7380,5,4,1,21,392,3738,1372,2366,50,160,55,331,125,CRASH_L
7385,5,4,1,21,390,3736,1367,2369,50,160,55,335,125,CRASH_L
7390,5,4,1,21,387,3736,1356,2380,50,160,55,338,125,CRASH_L
7395,5,4,1,21,387,3734,1355,2379,50,160,55,342,125,CRASH_L
7401,5,4,1,21,438,3732,1353,2379,50,160,55,346,125,CRASH_L
7406,5,4,1,21,438,3732,1352,2380,50,160,55,350,125,CRASH_L
7411,5,4,1,21,438,3738,1350,2388,50,160,55,354,125,CRASH_L
7416,5,4,1,21,391,3738,1348,2390,50,160,55,358,125,CRASH_L
7423,5,4,1,21,391,3736,1348,2388,50,160,55,364,125,CRASH_L
7428,5,4,1,21,390,3736,1352,2384,50,160,55,368,125,CRASH_L
7433,5,4,1,21,390,3735,1372,2363,50,160,55,372,125,CRASH_L
7439,5,4,1,21,390,3740,1382,2358,50,160,55,376,125,CRASH_L
7444,5,4,1,21,395,3735,1377,2358,50,160,55,380,125,CRASH_L
7449,5,4,1,21,414,3733,1378,2355,50,160,55,384,125,CRASH_L
7454,5,4,1,21,414,3715,1377,2338,50,160,55,388,125,CRASH_L
7459,5,4,1,21,413,3709,1377,2332,50,160,55,393,125,CRASH_L
7464,5,4,1,21,395,3709,1377,2332,50,160,55,397,125,CRASH_L
7469,5,4,1,21,393,3716,1375,2341,50,160,55,401,125,CRASH_L
7471,5,4,1,21,393,3716,1375,2341,50,160,55,403,125,MOVE
7477,5,4,1,21,390,3716,1357,2359,50,160,55,408,125,CRASH_L
7482,5,4,1,21,374,3716,1352,2364,50,160,55,412,125,CRASH_L
7487,5,4,1,21,366,3716,1351,2365,50,160,55,416,125,CRASH_L
7492,5,4,1,21,368,3716,1350,2366,50,160,55,420,125,CRASH_L
7497,5,4,1,21,365,3716,1349,2367,50,160,55,425,125,CRASH_L
7502,5,4,1,21,368,3720,1349,2371,50,160,55,430,125,CRASH_L
7507,5,4,1,21,373,3712,1352,2360,50,160,55,434,125,CRASH_L
7512,5,4,1,21,415,3710,1357,2353,50,160,55,439,125,CRASH_L
7517,5,4,1,21,416,3707,1353,2354,50,160,55,444,125,CRASH_L
7525,5,4,1,21,416,3707,1353,2354,50,160,55,451,125,CRASH_L
7530,5,4,1,21,415,3707,1353,2354,50,160,55,456,125,CRASH_L
7535,5,4,1,21,415,3720,1352,2368,50,160,55,460,125,CRASH_L
7540,5,4,1,21,414,3721,1354,2367,50,160,55,464,125,CRASH_L
7545,5,4,1,21,400,3721,1352,2369,50,160,55,469,125,CRASH_L
7550,5,4,1,21,390,3715,1354,2361,50,160,55,474,125,CRASH_L
7555,5,4,1,21,390,3714,1354,2360,50,160,55,478,125,CRASH_L
7561,5,4,1,21,391,3714,1382,2332,50,160,55,482,125,CRASH_L
7566,5,4,1,21,394,3716,1382,2334,50,160,55,487,125,CRASH_L
7571,5,4,1,21,410,3716,1378,2338,50,160,55,492,125,CRASH_L
7573,5,4,1,21,410,3716,1378,2338,50,160,55,494,125,MOVE
7578,5,4,1,21,438,3716,1376,2340,50,160,55,498,125,CRASH_L
7583,5,4,1,21,440,3719,1378,2341,50,160,55,503,125,CRASH_L
7588,5,4,1,21,440,3719,1376,2343,50,160,55,508,125,CRASH_L
7594,5,4,1,21,406,3706,1382,2324,50,160,55,512,125,CRASH_L
7599,5,4,1,21,405,3706,1382,2324,50,160,55,517,125,CRASH_L
7604,5,4,1,21,405,3717,1382,2335,50,160,55,522,125,CRASH_L
7609,5,4,1,21,367,3717,1379,2338,50,160,55,526,125,CRASH_L
7614,5,4,1,21,362,3717,1375,2342,50,160,55,531,125,CRASH_L
7619,5,4,1,21,362,3718,1374,2344,50,160,55,536,125,CRASH_L
7626,5,4,1,21,363,3718,1373,2345,50,160,55,542,125,CRASH_L
7632,5,4,1,21,369,3718,1373,2345,50,160,55,547,125,CRASH_L
7637,5,4,1,21,374,3712,1381,2331,50,160,55,552,125,CRASH_L
7642,5,4,1,21,391,3717,1381,2336,50,160,55,556,125,CRASH_L
7647,5,4,1,21,391,3711,1381,2330,50,160,55,560,125,CRASH_L
7652,5,4,1,21,397,3708,1376,2332,50,160,55,564,125,CRASH_L
7657,5,4,1,21,388,3708,1376,2332,50,160,55,569,125,CRASH_L
7662,5,4,1,21,388,3716,1376,2340,50,160,55,573,125,CRASH_L
7667,5,4,1,21,388,3716,1375,2341,50,160,55,578,125,CRASH_L
7672,5,4,1,21,416,3715,1375,2340,50,160,55,582,125,CRASH_L
7679,5,4,1,21,416,3715,1375,2340,50,160,55,588,125,MOVE
7684,5,4,1,21,416,3715,1375,2340,50,160,55,592,125,CRASH_L
7689,5,4,1,21,438,3711,1374,2337,50,160,55,598,125,CRASH_L
7724,5,5,1,20,0,0,0,0,0,0,0,0,0,CELL_DONE
7726,5,5,1,20,0,0,0,0,0,0,0,0,0,MOVE
7859,5,5,1,20,429,3708,1365,2343,50,160,55,0,0,CRASH_L
7859,5,5,1,20,429,3708,1365,2343,50,160,55,0,0,MOVE
7864,5,5,1,20,416,3721,1351,2370,50,160,55,1,0,CRASH_L
7869,5,5,1,20,416,3706,1348,2358,50,160,55,2,0,CRASH_L
7874,5,5,1,20,411,3697,1348,2349,50,160,55,2,0,CRASH_L
7879,5,5,1,20,393,3697,1348,2349,50,160,55,4,0,CRASH_L
7885,5,5,1,20,391,3695,1353,2342,50,160,55,6,0,CRASH_L
7895,5,5,1,20,393,3705,1380,2325,50,160,55,12,0,CRASH_L
7900,5,5,1,20,393,3705,1380,2325,50,160,55,16,0,CRASH_L
7905,5,5,1,20,395,3709,1387,2322,50,160,55,18,0,CRASH_L
7910,5,5,1,20,393,3709,1379,2330,50,160,55,22,0,CRASH_L
7916,5,5,1,20,392,3713,1378,2335,50,160,55,26,0,CRASH_L
7921,5,5,1,20,388,3713,1377,2336,50,160,55,30,0,CRASH_L
7926,5,5,1,20,388,3712,1378,2334,50,160,55,33,0,CRASH_L
7931,5,5,1,20,389,3706,1375,2331,50,160,55,37,0,CRASH_L
7936,5,5,1,20,394,3706,1358,2348,50,160,55,41,0,CRASH_L
7941,5,5,1,20,392,3713,1357,2356,50,160,55,45,0,CRASH_L
7948,5,5,1,20,394,3723,1351,2372,50,160,55,52,0,CRASH_L
7954,5,5,1,20,392,3720,1351,2369,50,160,55,56,0,CRASH_L
7959,5,5,1,20,389,3720,1351,2369,50,160,55,61,0,CRASH_L
7959,5,5,1,20,389,3720,1351,2369,50,160,55,61,0,MOVE
7964,5,5,1,20,372,3717,1348,2369,50,160,55,66,0,CRASH_L
7969,5,5,1,20,368,3716,1348,2368,50,160,55,71,0,CRASH_L
7974,5,5,1,20,369,3714,1377,2337,50,160,55,76,0,CRASH_L
7979,5,5,1,20,365,3711,1377,2334,50,160,55,80,0,CRASH_L
7984,5,5,1,20,365,3708,1377,2331,50,160,55,86,0,CRASH_L
7989,5,5,1,20,364,3708,1376,2332,50,160,55,90,0,CRASH_L
7997,5,5,1,20,344,3705,1376,2329,50,160,55,98,0,CRASH_L
8002,5,5,1,20,343,3707,1376,2331,50,160,55,102,0,CRASH_L
8007,5,5,1,20,343,3705,1376,2329,50,160,55,107,0,CRASH_L
8012,5,5,1,20,391,3707,1375,2332,50,160,55,112,0,CRASH_L
8017,5,5,1,20,391,3717,1368,2349,50,160,55,116,0,CRASH_L
8022,5,5,1,20,391,3717,1352,2365,50,160,55,121,0,CRASH_L
8027,5,5,1,20,391,3717,1352,2365,50,160,55,126,0,CRASH_L
8032,5,5,1,20,391,3720,1352,2368,50,160,55,130,0,CRASH_L
8037,5,5,1,20,391,3723,1354,2369,50,160,55,134,0,CRASH_L
8043,5,5,1,20,391,3726,1354,2372,50,160,55,138,0,CRASH_L
8050,5,5,1,20,391,3729,1354,2375,50,160,55,145,0,CRASH_L
8055,5,5,1,20,397,3729,1355,2374,50,160,55,149,0,CRASH_L
8060,5,5,1,20,413,3730,1378,2352,50,160,55,154,0,CRASH_L
8060,5,5,1,20,413,3730,1378,2352,50,160,55,154,0,MOVE
8065,5,5,1,20,415,3730,1378,2352,50,160,55,158,0,CRASH_L
8071,5,5,1,20,413,3731,1378,2353,50,160,55,162,0,CRASH_L
8076,5,5,1,20,394,3743,1381,2362,50,160,55,167,0,CRASH_L
8081,5,5,1,20,394,3743,1381,2362,50,160,55,172,0,CRASH_L
8086,5,5,1,20,394,3739,1377,2362,50,160,55,176,0,CRASH_L
8091,5,5,1,20,411,3739,1377,2362,50,160,55,180,0,CRASH_L
8098,5,5,1,20,414,3733,1382,2351,50,160,55,187,0,CRASH_L
8104,5,5,1,20,414,3733,1382,2351,50,160,55,192,0,CRASH_L
8109,5,5,1,20,415,3733,1382,2351,50,160,55,196,0,CRASH_L
8114,5,5,1,20,415,3738,1378,2360,50,160,55,200,0,CRASH_L
8119,5,5,1,20,414,3738,1378,2360,50,160,55,204,0,CRASH_L
8124,5,5,1,20,394,3725,1378,2347,50,160,55,208,0,CRASH_L
8129,5,5,1,20,390,3720,1376,2344,50,160,55,212,0,CRASH_L
8134,5,5,1,20,394,3714,1379,2335,50,160,55,216,0,CRASH_L
8139,5,5,1,20,413,3714,1375,2339,50,160,55,219,0,CRASH_L
8144,5,5,1,20,413,3714,1358,2356,50,160,55,223,0,CRASH_L
8152,5,5,1,20,413,3713,1347,2366,50,160,55,229,0,CRASH_L
8157,5,5,1,20,416,3713,1347,2366,50,160,55,233,0,CRASH_L
8162,5,5,1,20,419,3716,1346,2370,50,160,55,237,0,CRASH_L
8162,5,5,1,20,419,3716,1346,2370,50,160,55,237,0,MOVE
8167,5,5,1,20,419,3731,1346,2385,50,160,55,241,0,CRASH_L
8172,5,5,1,20,439,3740,1346,2394,50,160,55,245,0,CRASH_L
8177,5,5,1,20,439,3731,1365,2366,50,160,55,249,0,CRASH_L
8182,5,5,1,20,436,3740,1381,2359,50,160,55,253,0,CRASH_L
8187,5,5,1,20,398,3736,1381,2355,50,160,55,256,0,CRASH_L
8192,5,5,1,20,387,3736,1376,2360,50,160,55,260,0,CRASH_L
8204,5,5,1,20,387,3736,1374,2362,50,160,55,270,0,CRASH_L
8209,5,5,1,20,411,3740,1374,2366,50,160,55,274,0,CRASH_L
8214,5,5,1,20,416,3740,1376,2364,50,160,55,278,0,CRASH_L
8220,5,5,1,20,439,3736,1376,2360,50,160,55,282,0,CRASH_L
8225,5,5,1,20,439,3734,1359,2375,50,160,55,286,0,CRASH_L
8230,5,5,1,20,436,3733,1355,2378,50,160,55,290,0,CRASH_L
8235,5,5,1,20,376,3733,1347,2386,50,160,55,294,0,CRASH_L
8240,5,5,1,20,365,3733,1347,2386,50,160,55,298,0,CRASH_L
8245,5,5,1,20,376,3732,1354,2378,50,160,55,302,0,CRASH_L
8250,5,5,1,20,391,3719,1357,2362,50,160,55,306,0,CRASH_L
8257,5,5,1,20,395,3719,1356,2363,50,160,55,312,0,CRASH_L
8262,5,5,1,20,397,3714,1357,2357,50,160,55,316,0,CRASH_L
8262,5,5,1,20,397,3714,1357,2357,50,160,55,316,0,MOVE
8267,5,5,1,20,412,3714,1402,2312,50,160,55,320,0,CRASH_L
8273,5,5,1,20,412,3714,1402,2312,50,160,55,325,0,CRASH_L
8278,5,5,1,20,412,3711,1398,2313,50,160,55,329,0,CRASH_L
8283,5,5,1,20,376,3711,1398,2313,50,160,55,334,0,CRASH_L
8288,5,5,1,20,369,3721,1397,2324,50,160,55,338,0,CRASH_L
8293,5,5,1,20,376,3721,1397,2324,50,160,55,342,0,CRASH_L
8298,5,5,1,20,388,3717,1397,2320,50,160,55,346,0,CRASH_L
8305,5,5,1,20,389,3715,1397,2318,50,160,55,353,0,CRASH_L
8311,5,5,1,20,391,3715,1381,2334,50,160,55,358,0,CRASH_L
8316,5,5,1,20,415,3712,1378,2334,50,160,55,362,0,CRASH_L
8321,5,5,1,20,415,3712,1376,2336,50,160,55,366,0,CRASH_L
8326,5,5,1,20,416,3715,1375,2340,50,160,55,369,0,CRASH_L
8331,5,5,1,20,415,3715,1374,2341,50,160,55,373,0,CRASH_L
8336,5,5,1,20,415,3711,1373,2338,50,160,55,377,0,CRASH_L
8341,5,5,1,20,414,3711,1373,2338,50,160,55,381,0,CRASH_L
8346,5,5,1,20,407,3716,1371,2345,50,160,55,385,0,CRASH_L
8351,5,5,1,20,390,3716,1358,2358,50,160,55,388,0,CRASH_L
8359,5,5,1,20,390,3713,1355,2358,50,160,55,394,0,CRASH_L
8364,5,5,1,20,367,3713,1355,2358,50,160,55,398,0,CRASH_L
8364,5,5,1,20,367,3713,1355,2358,50,160,55,398,0,MOVE
8369,5,5,1,20,367,3719,1353,2366,50,160,55,402,0,CRASH_L
8374,5,5,1,20,367,3719,1354,2365,50,160,55,406,0,CRASH_L
8379,5,5,1,20,390,3718,1353,2365,50,160,55,411,0,CRASH_L
8384,5,5,1,20,390,3712,1353,2359,50,160,55,415,0,CRASH_L
8389,5,5,1,20,390,3710,1353,2357,50,160,55,419,0,CRASH_L
8394,5,5,1,20,391,3706,1374,2332,50,160,55,424,0,CRASH_L
8399,5,5,1,20,401,3706,1379,2327,50,160,55,428,0,CRASH_L
8407,5,5,1,20,410,3717,1374,2343,50,160,55,434,0,CRASH_L
8412,5,5,1,20,439,3717,1371,2346,50,160,55,438,0,CRASH_L
8417,5,5,1,20,440,3704,1371,2333,50,160,55,442,0,CRASH_L
8422,5,5,1,20,439,3701,1378,2323,50,160,55,445,0,CRASH_L
8427,5,5,1,20,425,3700,1383,2317,50,160,55,449,0,CRASH_L
8432,5,5,1,20,421,3699,1384,2315,50,160,55,453,0,CRASH_L
8438,5,5,1,20,419,3699,1384,2315,50,160,55,457,0,CRASH_L
8443,5,5,1,20,415,3692,1376,2316,50,160,55,461,0,CRASH_L
8448,5,5,1,20,412,3692,1374,2318,50,160,55,465,0,CRASH_L
8453,5,5,1,20,412,3692,1374,2318,50,160,55,470,0,CRASH_L
8460,5,5,1,20,391,3702,1374,2328,50,160,55,476,0,CRASH_L
8465,5,5,1,20,391,3715,1374,2341,50,160,55,480,0,CRASH_L
8466,5,5,1,20,391,3715,1374,2341,50,160,55,480,0,MOVE
8471,5,5,1,20,396,3702,1378,2324,50,160,55,484,0,CRASH_L
8476,5,5,1,20,417,3715,1380,2335,50,160,55,488,0,CRASH_L
8481,5,5,1,20,420,3719,1380,2339,50,160,55,493,0,CRASH_L
8486,5,5,1,20,420,3719,1381,2338,50,160,55,498,0,CRASH_L
8491,5,5,1,20,390,3717,1376,2341,50,160,55,503,0,CRASH_L
8496,5,5,1,20,389,3717,1376,2341,50,160,55,508,0,CRASH_L
8501,5,5,1,20,389,3716,1375,2341,50,160,55,513,0,CRASH_L
8508,5,5,1,20,389,3712,1375,2337,50,160,55,522,0,CRASH_L
8514,5,5,1,20,389,3712,1379,2333,50,160,55,526,0,CRASH_L
8519,5,5,1,20,384,3712,1379,2333,50,160,55,532,0,CRASH_L
8524,5,5,1,20,344,3710,1377,2333,50,160,55,539,0,CRASH_L
8529,5,5,1,20,344,3706,1376,2330,50,160,55,546,0,CRASH_L
8534,5,5,1,20,341,3706,1375,2331,50,160,55,554,0,CRASH_L
8539,5,5,1,20,293,3797,1374,2423,50,160,55,562,0,CRASH_L
8544,5,5,1,20,293,3800,1374,2426,50,160,55,570,0,CRASH_L
8549,5,5,1,20,301,3800,1380,2420,50,160,55,580,1,CRASH_L
8554,5,5,1,20,318,3789,1381,2408,50,160,55,588,3,CRASH_L
8596,5,6,1,19,0,0,0,0,0,0,0,0,0,CELL_DONE
8600,5,6,1,19,0,0,0,0,0,0,0,0,0,MOVE
8732,5,6,1,19,487,3739,1161,2578,50,160,55,0,0,CRASH_L
8732,5,6,1,19,487,3739,1161,2578,50,160,55,0,0,MOVE
8737,5,6,1,19,487,3735,1159,2576,50,160,55,1,0,CRASH_L
8743,5,6,1,19,488,3735,1157,2578,50,160,55,3,0,CRASH_L
8748,5,6,1,19,511,3617,1155,2462,50,160,55,7,0,CRASH_L
8753,5,6,1,19,514,3617,1155,2462,50,160,55,12,0,CRASH_L
8758,5,6,1,19,521,3617,1160,2457,50,160,55,18,0,CRASH_L
8763,5,6,1,19,562,3617,1170,2447,50,160,55,25,0,CRASH_L
8768,5,6,1,19,562,3615,1701,1914,31,160,55,33,0,CRASH_L
8773,5,6,1,19,571,3615,1701,1914,47,160,55,41,0,CRASH_L
8780,5,6,1,19,582,3611,1700,1911,47,160,55,54,0,CRASH_L
8786,5,6,1,19,584,3611,1700,1911,47,160,55,64,0,CRASH_L
8791,5,6,1,19,584,3634,1701,1933,48,160,55,72,0,CRASH_L
8796,5,6,1,19,632,3634,1701,1933,48,160,55,81,0,CRASH_L
8801,5,6,1,19,634,3633,1702,1931,48,160,55,89,0,CRASH_L
8806,5,6,1,19,634,3631,1700,1931,48,160,55,98,1,CRASH_L
8811,5,6,1,19,661,3626,1659,1967,50,160,55,106,1,CRASH_L
8816,5,6,1,19,661,3626,1659,1967,49,160,55,114,2,CRASH_L
8821,5,6,1,19,672,3626,1664,1962,48,160,55,123,3,CRASH_L
8826,5,6,1,19,708,3626,1664,1962,49,160,55,131,4,CRASH_L
8834,5,6,1,19,708,3275,1654,1621,30,160,100,143,6,MOVE
8935,5,6,1,19,859,2194,1695,499,11,141,119,302,77,MOVE
9037,5,6,1,19,1004,1713,1699,14,0,130,130,442,196,MOVE
9138,5,6,1,19,1141,1404,1725,-321,-8,122,138,578,335,MOVE
9188,5,7,1,18,0,0,0,0,0,0,0,0,0,CELL_DONE
9190,5,7,1,18,0,0,0,0,0,0,0,0,0,MOVE
9323,5,7,1,18,1306,1257,1783,-526,-20,110,150,0,0,MOVE
9425,5,7,1,18,1330,1256,1788,-532,-13,117,143,52,70,MOVE
9526,5,7,1,18,1495,1254,1257,-3,0,130,130,150,192,MOVE
9627,5,7,1,18,1736,1187,1910,-723,-18,112,148,277,331,MOVE
9729,5,7,1,18,2107,1158,2936,-1778,-50,55,135,382,483,MOVE
9810,5,7,1,18,2247,1156,3645,-2489,-50,55,160,438,596,CRASH_R
9849,5,8,1,17,0,0,0,0,0,0,0,0,0,CELL_DONE
9854,5,8,1,17,0,0,0,0,0,0,0,0,0,MOVE
9987,5,8,1,17,2248,1258,3893,-2635,-50,55,160,0,0,CRASH_R
9988,5,8,1,17,2248,1258,3893,-2635,-50,55,160,0,0,MOVE
9993,5,8,1,17,2245,1258,3893,-2635,-50,55,160,0,1,CRASH_R
9998,5,8,1,17,2244,1258,3890,-2632,-50,55,160,0,3,CRASH_R
10003,5,8,1,17,2244,1258,3890,-2632,-50,55,160,0,6,CRASH_R
10008,5,8,1,17,2244,1258,3890,-2632,-50,55,160,2,10,CRASH_R
10013,5,8,1,17,2247,1257,3889,-2632,-50,55,160,2,14,CRASH_R
10018,5,8,1,17,2248,1257,3888,-2631,-50,55,160,4,18,CRASH_R
10023,5,8,1,17,2250,1257,3888,-2631,-50,55,160,4,21,CRASH_R
10028,5,8,1,17,2250,1256,3889,-2633,-50,55,160,6,25,CRASH_R
10036,5,8,1,17,2229,1256,3901,-2645,-50,55,160,8,30,CRASH_R
10041,5,8,1,17,2220,1284,3901,-2617,-50,55,160,10,34,CRASH_R
10046,5,8,1,17,2212,1284,3901,-2617,-50,55,160,10,38,CRASH_R
10051,5,8,1,17,2212,1284,3902,-2618,-50,55,160,10,42,CRASH_R
10056,5,8,1,17,2212,1284,3902,-2618,-50,55,160,12,46,CRASH_R
10061,5,8,1,17,2176,1283,3888,-2605,-50,55,160,12,51,CRASH_R
10066,5,8,1,17,2175,1282,3888,-2606,-50,55,160,14,56,CRASH_R
10071,5,8,1,17,2176,1282,3889,-2607,-50,55,160,15,61,CRASH_R
10076,5,8,1,17,2166,1282,3889,-2607,-50,55,160,16,66,CRASH_R
10081,5,8,1,17,2133,1282,3888,-2606,-50,55,160,18,71,CRASH_R
10089,5,8,1,17,2133,1300,3888,-2588,-50,55,160,19,80,CRASH_R
10089,5,8,1,17,2133,1300,3888,-2588,-50,55,160,19,80,MOVE
10094,5,8,1,17,2114,1305,3891,-2586,-50,55,160,20,86,CRASH_R
10099,5,8,1,17,2108,1300,3893,-2593,-50,55,160,22,92,CRASH_R
10104,5,8,1,17,2108,1305,3894,-2589,-50,55,160,23,99,CRASH_R
10109,5,8,1,17,2056,1314,3901,-2587,-50,55,160,24,105,CRASH_R
