time_ms,front,left,right,enc_l,enc_r,pwm_l,pwm_r,action
3227,710,1362,2101,0,0,0,0,0
3247,708,1360,2110,0,0,0,0,0
3267,710,1361,2101,0,0,0,0,0
3287,709,1361,2101,0,0,0,0,0
3307,708,1361,2101,0,0,0,0,0
3327,709,1361,2102,0,0,0,0,0
3368,710,1361,2102,0,0,0,0,0
3388,716,1361,2108,0,0,0,0,0
3408,716,1363,2124,0,0,0,0,0
3428,716,1363,2128,0,0,0,0,0
3448,709,1363,2128,0,0,0,0,0
3468,708,1363,2128,0,0,0,0,0
3488,707,1380,2124,0,0,0,0,0
3508,708,1394,2127,0,0,0,0,0
3528,708,1408,2127,-1,0,0,0,0
3569,709,1408,2129,-6,0,0,0,0
3589,722,1468,2137,-5,0,0,0,0
3609,744,1502,2146,-6,0,0,0,0
3629,762,1518,2159,-8,0,0,0,0
3649,789,1733,2180,-9,0,0,0,0
3669,816,1734,2197,-9,0,0,0,0
3689,831,2011,2235,-10,0,0,0,0
3709,836,2014,2248,-10,0,0,0,0
3729,838,2227,2264,-9,0,0,0,0
3770,859,2229,2278,-18,0,0,0,0
3790,879,2230,2298,-9,0,0,0,0
3810,931,2823,2345,-10,0,0,0,0
3830,951,2841,2359,-9,0,0,0,0
3850,990,2844,2413,-9,0,0,0,0
3870,1054,2844,2432,-10,0,0,0,0
3890,1098,2841,2445,-10,0,0,0,0
3910,1130,1577,2445,-9,0,0,0,0
3930,1186,1576,2487,-8,0,0,0,0
3971,1256,1418,2487,-17,0,0,0,0
3991,1336,1418,2487,-8,0,0,0,0
4011,1461,1418,2483,-8,0,0,0,0
4031,1532,1509,2472,-9,0,0,0,0
4051,1558,1515,2296,-8,0,0,0,0
4071,1645,1568,2296,-8,0,0,0,0
4091,1691,1594,729,-8,0,0,0,0
4111,1878,1623,724,-7,0,0,0,0
4131,1946,1623,187,-7,0,0,0,0
4172,2038,1674,187,-10,0,0,0,0
4192,2109,1675,187,-3,0,0,0,0
4212,2365,1754,253,-3,0,0,0,0
4232,2429,1821,473,-1,0,0,0,0
4252,2480,1829,476,0,0,0,0,0
4272,2547,1869,504,-1,0,0,0,0
4292,2594,1874,504,0,0,0,0,0
4312,2595,1883,511,0,0,0,0,0
4332,2595,1887,523,0,0,0,0,0
4373,2595,1890,527,0,0,0,0,0
4393,2594,1892,528,0,0,0,0,0
4413,2593,1892,528,0,0,0,0,0
4433,2592,1892,580,0,0,0,0,0
4453,2582,1916,585,0,0,0,0,0
4473,2582,1916,585,0,0,0,0,0
4493,2592,1916,580,0,0,0,0,0
4513,2593,1921,580,0,0,0,0,0
4533,2593,1921,585,0,0,0,0,0
4574,2593,1916,590,0,0,0,0,0
4594,2593,1916,590,0,0,0,0,0
4614,2593,1916,590,0,0,0,0,0
4634,2593,1916,590,0,0,0,0,0
4654,2591,1922,580,0,0,0,0,0
4674,2591,1922,580,0,0,0,0,0
4694,2590,1922,591,0,0,0,0,0
4714,2590,1918,602,0,0,0,0,0
4734,2572,1917,602,0,0,0,0,0
4775,2572,1917,602,0,0,0,0,0
4795,2572,1917,577,0,0,0,0,0
4815,2575,1917,577,0,0,0,0,0
4835,2575,1918,574,0,0,0,0,0
4855,2575,1918,577,0,0,0,0,0
4875,2591,1918,578,0,0,0,0,0
4895,2586,1918,578,0,0,0,0,0
4915,2591,1916,578,0,0,0,0,0
4935,2594,1914,578,0,0,0,0,0
4976,2594,1894,575,0,0,0,0,0
4996,2592,1894,575,0,0,0,0,0
5016,2592,1893,575,0,0,0,0,0
5036,2586,1894,575,0,0,0,0,0
5056,2586,1910,575,0,0,0,0,0
5076,2572,1915,572,0,0,0,0,0
5096,2571,1916,564,0,0,0,0,0
5116,2569,1916,557,0,0,0,0,0
5136,2569,1915,557,0,0,0,0,0
5177,2565,1919,557,0,0,0,0,0
5197,2562,1919,550,0,0,0,0,0
5217,2550,1959,505,0,0,0,0,0
5237,2549,2058,500,0,0,0,0,0
5257,2540,2063,443,-1,0,0,0,0
5277,2480,2173,429,-1,0,0,0,0
5297,2459,2183,320,-1,0,0,0,0
5317,2419,2299,307,-1,0,0,0,0
5337,2418,2309,240,-2,0,0,0,0
5378,2393,2461,240,-5,0,0,0,0
5398,2384,2474,240,-4,0,0,0,0
5418,2368,2616,254,-2,0,0,0,0
5438,2200,2619,1012,-2,0,0,0,0
5458,2089,2773,1015,-1,0,0,0,0
5478,1923,2774,2537,-1,0,0,0,0
5498,1864,2884,2549,-1,0,0,0,0
5518,1764,2906,2886,0,0,0,0,0
5538,1666,2950,2894,-1,0,0,0,0
5579,1666,2954,2937,-2,0,0,0,0
5599,1666,3001,2942,-2,0,0,0,0
5619,1666,3051,2968,-2,0,0,0,0
5639,1740,3068,2983,-2,0,0,0,0
5659,1740,3129,2983,-3,0,0,0,0
5679,1740,3139,2983,-3,0,0,0,0
5699,1378,3155,2974,-3,0,0,0,0
5719,980,3155,2924,-3,0,0,0,0
5739,418,3158,2922,-3,0,0,0,0
5780,220,3155,2740,-7,0,0,0,0
5800,85,3143,2726,-3,0,0,0,0
5820,77,3072,2385,-3,0,0,0,0
5840,77,3068,2062,-3,0,0,0,0
5860,77,3007,2057,-4,0,0,0,0
5880,77,2988,1431,-4,0,0,0,0
5900,75,2917,1429,-4,0,0,0,0
5920,75,2915,1423,-2,0,0,0,0
5940,75,2909,1351,-4,0,0,0,0
5981,75,2855,1351,-5,0,0,0,0
6001,60,2848,1351,-3,0,0,0,0
6021,59,2798,1351,-3,0,0,0,0
6041,49,2752,1351,-4,0,0,0,0
6061,45,2749,1256,-4,0,0,0,0
6081,45,2694,1250,-5,0,0,0,0
6101,45,2685,1250,-6,0,0,0,0
6121,240,2553,1256,-6,0,0,0,0
6141,1294,2538,1277,-6,0,0,0,0
6182,2455,2363,1280,-11,0,0,0,0
6202,2687,2362,1280,-5,0,0,0,0
6222,2687,2225,1280,-4,0,0,0,0
6242,2687,2079,1281,-4,0,0,0,0
6262,2589,2076,1281,-4,0,0,0,0
6282,2545,1918,1275,-4,0,0,0,0
6302,2414,1918,1272,-5,0,0,0,0
6322,2345,1849,1260,-5,0,0,0,0
6342,2301,1844,1247,-6,0,0,0,0
6383,2196,1844,1240,-13,0,0,0,0
6403,2039,1844,1232,-7,0,0,0,0
