Millis,Front,Left,Right,EncL,EncR,dEncL,dEncR,dMillis,vL,vR,vL_smooth,vR_smooth
6574,768,1022,921,1077,1183,51.0,76.0,59.0,864.406779661017,1288.1355932203392,860.6078316773817,1351.2565751022796
6633,820,1024,906,1130,1267,53.0,84.0,59.0,898.3050847457628,1423.7288135593221,860.6078316773817,1415.6633547632964
6691,833,1016,918,1181,1361,51.0,94.0,58.0,879.3103448275862,1620.6896551724137,860.6078316773817,1469.9006428988896
6750,889,1066,917,1228,1449,47.0,88.0,59.0,796.6101694915254,1491.5254237288136,880.946814728229,1585.1548801870251
6809,907,1062,839,1279,1539,51.0,90.0,59.0,864.406779661017,1525.4237288135594,918.5271770894215,1669.3746347165402
6868,932,1069,724,1336,1649,57.0,110.0,59.0,966.1016949152543,1864.406779661017,956.2244301578027,1690.999415546464
6926,949,1065,620,1399,1756,63.0,107.0,58.0,1086.2068965517242,1844.8275862068965,1017.2413793103449,1755.4061952074812
6985,1005,1060,1160,1462,1858,63.0,102.0,59.0,1067.7966101694915,1728.813559322034,1061.3091759205145,1792.6943308007017
7044,1014,1095,1530,1527,1965,65.0,107.0,59.0,1101.6949152542375,1813.5593220338983,1044.3600233781415,1758.7960257159557
7103,1031,1081,1748,1591,2066,64.0,101.0,59.0,1084.7457627118645,1711.864406779661,976.2711864406781,1735.5932203389832
7162,1029,1090,1885,1643,2166,52.0,100.0,59.0,881.3559322033899,1694.9152542372883,881.35593220339,1749.1525423728813
7221,958,1080,2030,1687,2268,44.0,102.0,59.0,745.7627118644068,1728.813559322034,755.9322033898305,1732.2033898305085
7280,909,1066,2377,1722,2374,35.0,106.0,59.0,593.2203389830509,1796.6101694915255,627.1186440677967,1688.1355932203392
7339,1008,1177,2499,1750,2476,28.0,102.0,59.0,474.5762711864407,1728.813559322034,518.6440677966102,1654.2372881355932
7398,1005,1329,2741,1776,2564,26.0,88.0,59.0,440.67796610169495,1491.5254237288136,461.0169491525424,1572.8813559322034
7457,544,929,2803,1796,2654,20.0,90.0,59.0,338.98305084745766,1525.4237288135594,437.28813559322043,1501.6949152542375
7516,709,791,2848,1823,2732,27.0,78.0,59.0,457.6271186440678,1322.033898305085,450.8474576271186,1444.0677966101696
7575,864,995,2887,1851,2817,28.0,85.0,59.0,474.5762711864407,1440.677966101695,477.9661016949152,1464.406779661017
7634,906,990,2878,1883,2902,32.0,85.0,59.0,542.3728813559322,1440.677966101695,522.0338983050848,1511.8644067796608
7693,952,1007,2832,1917,2996,34.0,94.0,59.0,576.271186440678,1593.2203389830509,552.542372881356,1586.4406779661017
7752,983,1088,2798,1950,3100,33.0,104.0,59.0,559.3220338983051,1762.7118644067798,569.4915254237287,1637.2881355932204
7811,1029,1081,2693,1986,3200,36.0,100.0,59.0,610.1694915254237,1694.9152542372883,549.1525423728814,1664.4067796610173
7870,1078,1116,2490,2019,3300,33.0,100.0,59.0,559.3220338983051,1694.9152542372883,474.5762711864407,1647.457627118644
7929,1125,1178,2364,2045,3393,26.0,93.0,59.0,440.67796610169495,1576.271186440678,362.7118644067797,1581.1221507890125
7988,1136,1306,2150,2057,3482,12.0,89.0,59.0,203.38983050847457,1508.4745762711866,240.6779661016949,1499.7662185856225
8046,1101,908,2052,2057,3565,0.0,83.0,58.0,0.0,1431.0344827586207,128.8135593220339,1384.116501071498
8105,1006,1303,1868,2057,3641,0.0,76.0,59.0,0.0,1288.1355932203392,40.67796610169491,1272.252094291837
8165,976,1674,1843,2057,3708,0.0,67.0,60.0,0.0,1116.6666666666667,10.169491525423728,1129.879212935905
8224,904,1814,1894,2057,3768,0.0,60.0,59.0,0.0,1016.949152542373,50.847457627118644,975.8757062146893
8283,885,1891,1399,2060,3815,3.0,47.0,59.0,50.847457627118644,796.6101694915254,88.13559322033898,874.180790960452
