time_ms,front,left,right,enc_l,enc_r,pwm_l,pwm_r,action
0,563,2484,2805,0,0,0,0,0
35,564,2503,2766,-30,0,0,0,0
55,608,2505,2762,-16,0,0,0,0
75,646,2548,2740,-15,0,0,0,0
95,659,2548,2653,-16,0,0,0,0
115,736,2548,2646,-17,0,0,0,0
135,765,1507,2630,-16,0,0,0,0
155,788,1497,2629,-17,0,0,0,0
175,834,1361,2618,-17,0,0,0,0
195,909,1359,2592,-18,0,0,0,0
236,982,1337,2580,-36,0,0,0,0
256,1028,1332,2546,-17,0,0,0,0
276,1238,1308,2511,-17,0,0,0,0
296,1330,1308,2506,-17,0,0,0,0
316,1402,1307,2502,-15,0,0,0,0
336,1526,1291,2482,-14,0,0,0,0
356,1762,1291,2441,-13,0,0,0,0
376,1875,1285,2441,-12,0,0,0,0
396,2011,1278,2398,-12,0,0,0,0
437,2184,1278,2385,-22,0,0,0,0
457,2436,1278,2325,-10,0,0,0,0
477,2680,1288,2287,-12,0,0,0,0
497,2770,1301,2263,-12,0,0,0,0
517,2770,1303,2191,-12,0,0,0,0
537,2770,1305,2185,-13,0,0,0,0
557,2671,1361,2185,-11,0,0,0,0
577,2614,1362,2191,-10,0,0,0,0
597,2200,1362,3199,-10,0,0,0,0
638,2000,1361,3199,-19,0,0,0,0
658,1780,1359,3630,-7,0,0,0,0
678,168,1357,3734,-9,0,0,0,0
698,168,1354,3746,-8,0,0,0,0
718,168,1344,3748,-9,0,0,0,0
738,1190,1335,3784,-6,0,0,0,0
758,1190,1313,3793,-6,0,0,0,0
778,1190,1312,3794,-4,0,0,0,0
798,900,1311,3800,-4,0,0,0,0
839,812,1311,3800,-9,0,0,0,0
859,812,1311,3794,-5,0,0,0,0
879,812,1310,3762,-6,0,0,0,0
899,857,1310,3747,-5,0,0,0,0
919,857,1317,3747,-5,0,0,0,0
939,861,1317,3742,-5,0,0,0,0
959,865,1317,3742,-6,0,0,0,0
979,884,1381,3747,-5,0,0,0,0
999,886,1386,3744,-5,0,0,0,0
1040,914,1386,3741,-9,0,0,0,0
1060,914,1381,3744,-4,0,0,0,0
1080,958,1308,3745,-3,0,0,0,0
1100,972,1247,3745,-4,0,0,0,0
1120,980,1229,3746,-5,0,0,0,0
1140,1005,1229,3752,-4,0,0,0,0
1160,1006,1229,3768,-4,0,0,0,0
1180,1031,1234,3769,-3,0,0,0,0
1200,1053,1248,3771,-4,0,0,0,0
1241,1080,1251,3771,-6,0,0,0,0
1261,1092,1263,3771,-3,0,0,0,0
1281,1135,1264,3774,-2,0,0,0,0
1301,1138,1264,3786,-1,0,0,0,0
1321,1142,1269,3786,0,0,0,0,0
1341,1142,1279,3786,-1,0,0,0,0
1361,1141,1285,3763,-1,0,0,0,0
1381,1142,1288,3763,-1,0,0,0,0
1401,1161,1288,3763,-2,0,0,0,0
1442,1160,1309,3773,-3,0,0,0,0
1462,1168,1309,3775,0,0,0,0,0
1482,1174,1309,3775,0,0,0,0,0
1502,1186,1308,3773,0,0,0,0,0
1522,1191,1308,3771,0,0,0,0,0
1542,1191,1302,3769,0,0,0,0,0
1562,1191,1293,3766,0,0,0,0,0
1582,1190,1286,3762,0,0,0,0,0
1602,1188,1284,3766,0,0,0,0,0
1643,1186,1284,3762,0,0,0,0,0
1663,1186,1284,3766,0,0,0,0,0
1683,1186,1284,3758,0,0,0,0,0
1703,1170,1287,3762,0,0,0,0,0
1723,1165,1287,3762,0,0,0,0,0
1743,1163,1287,3766,0,0,0,0,0
1763,1163,1285,3766,0,0,0,0,0
1783,1163,1284,3766,0,0,0,0,0
1803,1165,1271,3768,0,0,0,0,0
1844,1165,1263,3778,0,0,0,0,0
1864,1165,1263,3778,0,0,0,0,0
1884,1163,1260,3787,0,0,0,0,0
1904,1162,1260,3787,0,0,0,0,0
1924,1161,1260,3770,0,0,0,0,0
1944,1162,1260,3770,0,0,0,0,0
1964,1162,1260,3762,0,0,0,0,0
1984,1164,1253,3762,0,0,0,0,0
2004,1164,1239,3762,0,0,0,0,0
2045,1164,1233,3762,0,0,0,0,0
2065,1164,1233,3761,0,0,0,0,0
2085,1183,1232,3761,0,0,0,0,0
2105,1183,1233,3761,0,0,0,0,0
2125,1186,1233,3762,0,0,0,0,0
2145,1184,1232,3761,0,0,0,0,0
2165,1186,1235,3761,0,0,0,0,0
2185,1205,1235,3765,0,0,0,0,0
2205,1209,1234,3765,0,0,0,0,0
2246,1209,1234,3762,0,0,0,0,0
2266,1233,1234,3765,0,0,0,0,0
2286,1235,1233,3765,0,0,0,0,0
2306,1236,1234,3765,0,0,0,0,0
2326,1253,1234,3765,0,0,0,0,0
2346,1262,1234,3770,0,0,0,0,0
2366,1274,1234,3770,0,0,0,0,0
2386,1282,1235,3770,0,0,0,0,0
2406,1284,1241,3770,0,0,0,0,0
2447,1285,1242,3768,0,0,0,0,0
2467,1298,1241,3768,0,0,0,0,0
2487,1298,1241,3770,0,0,0,0,0
2507,1308,1237,3768,0,0,0,0,0
2527,1310,1231,3765,0,0,0,0,0
2547,1308,1231,3769,0,0,0,0,0
2567,1292,1237,3769,0,0,0,0,0
2587,1308,1238,3769,0,0,0,0,0
2607,1305,1238,3769,0,0,0,0,0
2648,1299,1238,3769,0,0,0,0,0
2668,1299,1235,3768,0,0,0,0,0
2688,1305,1235,3768,0,0,0,0,0
2708,1305,1235,3768,0,0,0,0,0
2728,1305,1235,3768,0,0,0,0,0
2748,1306,1235,3768,0,0,0,0,0
2768,1308,1233,3785,0,0,0,0,0
2788,1308,1233,3771,0,0,0,0,0
2808,1306,1233,3764,0,0,0,0,0
2849,1307,1233,3763,0,0,0,0,0
2869,1308,1233,3771,0,0,0,0,0
2889,1309,1234,3770,0,0,0,0,0
2909,1308,1236,3762,0,0,0,0,0
2929,1309,1218,3770,0,0,0,0,0
2949,1309,1218,3770,0,0,0,0,0
2969,1309,1218,3769,0,0,0,0,0
2989,1308,1216,3767,0,0,0,0,0
3009,1309,1216,3768,0,0,0,0,0
3050,1309,1214,3768,0,0,0,0,0
3070,1309,1214,3768,0,0,0,0,0
3090,1309,1214,3767,0,0,0,0,0
3110,1309,1214,3767,0,0,0,0,0
3130,1307,1213,3761,0,0,0,0,0
3150,1307,1213,3761,0,0,0,0,0
3170,1307,1213,3766,0,0,0,0,0
3190,1309,1208,3761,0,0,0,0,0
3210,1309,1208,3761,0,0,0,0,0
3251,1309,1207,3764,0,0,0,0,0
3271,1303,1207,3760,0,0,0,0,0
3291,1303,1207,3760,0,0,0,0,0
3311,1303,1207,3764,0,0,0,0,0
3331,1308,1216,3766,0,0,0,0,0
3351,1308,1216,3766,0,0,0,0,0
3371,1308,1210,3766,0,0,0,0,0
3391,1308,1210,3766,0,0,0,0,0
3411,1308,1213,3776,0,0,0,0,0
3452,1307,1212,3782,0,0,0,0,0
3472,1307,1213,3782,0,0,0,0,0
3492,1305,1213,3782,0,0,0,0,0
3512,1305,1214,3772,0,0,0,0,0
3532,1305,1214,3768,0,0,0,0,0
3552,1305,1214,3768,0,0,0,0,0
3572,1305,1213,3772,0,0,0,0,0
3592,1305,1214,3772,0,0,0,0,0
3612,1309,1223,3769,0,0,0,0,0
3653,1309,1238,3769,0,0,0,0,0
3673,1305,1239,3765,0,0,0,0,0
3693,1304,1239,3765,0,0,0,0,0
3713,1309,1239,3762,0,0,0,0,0
3733,1304,1234,3761,0,0,0,0,0
3753,1302,1231,3762,0,0,0,0,0
3773,1304,1222,3763,0,0,0,0,0
3793,1309,1215,3763,0,0,0,0,0
3813,1301,1215,3763,0,0,0,0,0
3854,1307,1215,3763,0,0,0,0,0
3874,1316,1215,3763,0,0,0,0,0
3894,1316,1215,3763,0,0,0,0,0
3914,1308,1212,3757,0,0,0,0,0
3934,1311,1210,3763,0,0,0,0,0
3954,1315,1212,3775,0,0,0,0,0
3974,1311,1213,3776,0,0,0,0,0
3994,1308,1213,3776,0,0,0,0,0
4014,1307,1235,3776,0,0,0,0,0
4055,1305,1239,3765,0,0,0,0,0
4075,1305,1240,3765,0,0,0,0,0
4095,1307,1239,3765,0,0,0,0,0
4115,1307,1239,3765,0,0,0,0,0
4135,1307,1237,3768,0,0,0,0,0
4155,1308,1229,3768,0,0,0,0,0
4175,1308,1215,3768,0,0,0,0,0
4195,1308,1212,3769,0,0,0,0,0
4215,1308,1212,3776,0,0,0,0,0
4256,1308,1212,3776,0,0,0,0,0
4276,1308,1212,3776,0,0,0,0,0
4296,1306,1232,3776,0,0,0,0,0
