Millis,Front,Left,Right,EncL,EncR
12455,1385,1121,1785,0,2
12510,1379,1088,1766,0,2
12565,1374,1092,1773,0,2
12621,1379,1086,1769,0,2
12676,1352,1091,1797,0,2
12732,1353,1069,1820,0,2
12787,1386,1096,1771,0,2
12842,1380,1104,1792,0,2
12898,1493,1082,1801,0,2
12953,1257,1084,1771,0,2
13009,280,1095,1808,0,2
13064,409,1087,1774,0,2
13119,345,1113,1725,0,2
13175,244,1115,1700,0,2
13230,196,1088,1635,0,2
13285,170,1068,1670,0,2
13341,171,1114,1602,0,2
13396,175,1100,1642,0,2
13452,196,1105,1609,0,2
13507,165,1086,1610,0,2
13562,146,1108,1612,0,2
13618,193,1111,1576,0,2
13673,191,1092,1545,0,2
13729,172,1087,1547,0,2
13784,143,1064,1544,0,2
13839,195,1102,1558,0,2
13895,215,1089,1589,0,2
13950,195,1114,1588,0,2
14006,193,1093,1607,0,2
14061,248,1080,1636,0,2
14116,191,1114,1671,0,2
14172,195,1068,1647,0,2
14227,191,1036,1657,0,2
14283,192,1065,1678,0,2
14338,193,1093,1678,0,2
14393,189,1065,1728,0,2
14449,98,1064,1739,0,2
14504,119,1068,1721,0,2
14559,146,1066,1728,0,2
14615,274,1100,1712,0,2
14670,224,1078,1738,0,2
14726,240,1059,1727,0,2
14781,219,1036,1701,0,2
14836,194,1093,1582,0,2
14892,195,1064,1727,0,2
14947,174,1072,2434,0,2
15003,192,1070,2364,0,2
15058,147,1062,2809,0,2
15113,166,1065,2844,0,2
15169,146,1067,2823,0,2
15224,102,1078,1856,0,2
15280,147,1057,1622,0,2
15335,119,1090,1627,0,2
15390,171,1061,1634,0,2
15446,145,1062,1632,0,2
