Millis,Front,Left,Right,EncL,EncR
84999,415,3312,2448,3,2
85054,388,3315,2467,3,2
85110,403,3314,2432,3,2
85165,393,3326,2458,3,2
85220,422,3301,2442,3,2
85276,391,3302,2441,3,2
85331,390,3306,2447,3,2
85386,389,3309,2434,3,2
85442,391,3291,2462,3,2
85497,389,3308,2449,3,2
85553,414,3311,2441,3,2
85608,424,3320,2457,3,2
85663,413,3313,2448,3,2
85719,402,3326,2451,3,2
85774,391,3321,2454,5,2
85830,417,3299,2447,61,3
85885,438,3306,2483,165,39
85940,465,3233,2509,279,154
85996,514,3245,2496,450,322
86051,598,3212,2504,660,526
86107,682,2228,2456,906,750
86162,835,1090,799,1141,980
86217,992,1081,949,1361,1200
86273,1146,1079,953,1545,1385
86328,1378,1064,945,1677,1519
86384,1544,1087,963,1767,1605
86439,1713,1092,941,1817,1655
86495,1783,1088,947,1835,1678
86550,1785,1089,937,1836,1679
86605,1781,1094,965,1836,1693
86661,1805,1091,918,1823,1771
86716,1813,1098,869,1815,1897
86772,1645,1067,985,1814,2073
86827,1117,1012,2788,1814,2331
86882,610,1066,3063,1815,2634
86938,763,1146,3036,1871,2860
86993,811,1161,2763,1968,2963
87049,837,1138,2825,2024,3000
87104,865,1094,2874,2074,3035
87159,919,1102,2931,2141,3091
87215,981,1059,2904,2212,3171
87270,1074,1069,2934,2314,3279
87326,1184,1014,2923,2439,3426
87381,1449,1041,2869,2579,3592
87437,1756,1044,2794,2706,3749
87492,2249,1041,2676,2823,3879
87547,2637,1045,2626,2905,3955
87603,2876,1020,2646,2933,3983
87658,2939,986,2580,2933,3995
87714,2946,988,2575,2933,3995
87769,2943,994,2553,2933,3995
87824,2941,991,2559,2933,3995
87880,2964,994,2564,2933,3995
87935,2937,1019,2576,2933,3995
87991,2946,994,2580,2933,3995
88046,2940,1005,2612,2933,3995
88101,2926,983,2566,2933,3995
88157,2915,986,2557,2933,3995
88212,2918,1014,2579,2929,4003
88268,2828,1015,2533,2903,4047
88323,2741,1039,2425,2877,4097
88378,2592,1090,2306,2859,4135
88434,2410,1186,2077,2833,4191
88489,1947,941,1971,2795,4268
88545,1513,1376,3235,2765,4365
88600,1033,1546,3363,2723,4444
88656,932,2031,3370,2646,4521
88711,389,1958,3130,2585,4572
88766,569,1025,3025,2528,4611
88822,563,971,2896,2488,4636
88877,562,1019,2762,2485,4638
88933,586,1017,2761,2485,4638
88988,569,1030,2793,2485,4638
89043,561,1010,2776,2485,4638
89099,562,1135,2756,2485,4638
89154,561,1042,2761,2485,4638
89210,564,1047,2777,2485,4638
89265,562,1041,2755,2485,4638
89320,565,1044,2780,2485,4638
89376,582,1018,2785,2489,4639
89431,595,1005,2775,2511,4683
89487,591,699,2733,2579,4773
89542,635,737,2645,2691,4881
89597,662,692,2624,2829,5020
89653,765,2984,2630,2983,5170
89708,810,2978,2664,3133,5315
89764,909,2934,2689,3278,5446
89819,1052,2851,2690,3411,5567
89875,1137,2854,2747,3513,5677
89930,1297,2859,2702,3593,5757
89985,1375,2852,2733,3656,5822
90041,1498,2863,2762,3703,5872
90096,1543,2889,2737,3739,5909
90152,1592,2895,2728,3753,5926
90207,1617,2868,2781,3755,5926
90262,1598,2867,2761,3755,5926
90318,1642,2871,2782,3755,5926
90373,1637,2879,2782,3755,5926
90429,1639,2875,2757,3755,5926
90484,1620,2871,2758,3755,5926
90539,1614,2862,2763,3755,5926
90595,1630,2893,2770,3755,5926
90650,1595,2872,2778,3755,5926
90706,1590,2869,2785,3755,5926
90761,1597,2869,2759,3755,5926
90816,1612,2886,2782,3755,5926
90872,1631,2899,2764,3755,5926
90927,1615,2857,2783,3755,5926
90983,1600,2870,2783,3755,5926
91038,1625,2896,2794,3755,5926
91094,1598,2865,2779,3755,5926
91149,1592,2872,2762,3755,5926
91204,1597,2867,2784,3755,5926
91260,1630,2883,2799,3755,5926
91315,1613,2890,2751,3755,5926
91371,1605,2873,2782,3755,5926
91426,1624,2865,2785,3755,5926
91481,1625,2874,2773,3755,5926
91537,1619,2865,2753,3755,5926
91592,1624,2868,2778,3755,5926
91648,1595,2866,2761,3755,5926
91703,1619,2889,2768,3755,5926
91758,1615,2870,2772,3755,5926
91814,1604,2879,2766,3755,5926
91869,1627,2863,2770,3755,5926
91925,1620,2861,2762,3758,5926
91980,1621,2863,2769,3759,5926
92035,1613,2867,2784,3759,5926
92091,1618,2848,2783,3759,5926
92146,1620,2867,2784,3759,5926
92202,1625,2869,2775,3759,5926
92257,1619,2865,2785,3759,5926
92313,1607,2874,2764,3759,5926
92368,1614,2858,2789,3759,5926
92423,1630,2866,2767,3759,5926
92479,1614,2863,2779,3759,5926
92534,1618,2849,2786,3759,5926
92590,1621,2866,2787,3759,5926
92645,1629,2876,2774,3759,5926
92700,1618,2875,2765,3759,5926
92756,1619,2889,2795,3759,5926
92811,1606,2858,2781,3759,5926
92867,1618,2874,2790,3759,5926
92922,1620,2864,2774,3759,5926
92977,1619,2841,2780,3759,5926
93033,1618,2874,2787,3759,5926
93088,1622,2878,2795,3759,5926
93144,1621,2869,2774,3759,5926
93199,1621,2873,2792,3759,5926
93254,1629,2884,2793,3759,5926
93310,1628,2867,2798,3759,5926
93365,1593,2874,2762,3759,5926
93421,1620,2863,2780,3759,5926
93476,1618,2865,2781,3759,5926
93531,1623,2875,2788,3759,5926
93587,1616,2870,2770,3759,5926
93642,1599,2867,2781,3759,5926
93698,1616,2873,2788,3759,5926
93753,1629,2875,2792,3759,5926
93809,1627,2858,2774,3759,5926
93864,1622,2867,2787,3759,5926
