ms,f,l,r,dF,dL,dR,err,corr,pwmL,pwmR,encL,encR,event
22,0,0,0,0,0,0,0,0,0,0,0,0,START
176,460,2522,2778,460,2522,2778,-256,-20,110,150,0,4,RUN
277,440,2548,2778,3,0,2,-230,-5,165,170,60,78,RUN
377,466,2545,2749,5,3,-8,-204,-4,166,170,198,222,RUN
477,515,2590,2734,0,0,0,-144,-3,167,170,369,398,RUN
610,595,2635,2690,7,0,0,-55,-1,169,170,608,640,RUN
682,661,2957,2624,3,231,1,333,20,170,168,743,773,CRASH_L
742,689,2942,2611,6,-9,-5,331,8,170,150,853,874,RUN
766,764,892,2596,22,-860,-9,0,0,109,151,895,915,LEFT_OPEN
1090,0,0,0,0,0,0,0,0,0,0,0,0,TURN_L_OPEN
1739,1102,767,2530,1102,767,2530,0,0,0,0,40,43,LEFT_OPEN
2134,0,0,0,0,0,0,0,0,0,0,0,0,TURN_L_OPEN
3137,0,0,0,0,0,0,0,0,0,0,0,0,TURN_STUCK
3261,408,3896,2033,408,3896,2033,1863,60,0,0,48,30,CRASH_L
3264,408,3896,2033,408,3896,2033,1863,60,160,55,50,32,RUN
3300,391,3896,1886,-17,0,-147,2010,54,160,55,85,53,CRASH_L
3308,393,3896,1886,2,0,0,2010,50,160,55,94,58,CRASH_L
3316,393,3896,1886,0,0,0,2010,50,160,55,104,62,CRASH_L
3325,393,3897,1890,0,1,4,2007,50,160,55,114,67,CRASH_L
3333,392,3897,1896,-1,0,6,2001,49,160,55,124,71,CRASH_L
3341,389,3896,1927,-3,-1,31,1969,47,160,55,134,75,CRASH_L
3349,369,3895,1937,-20,-1,10,1958,48,160,55,145,79,CRASH_L
3357,368,3895,1933,-1,0,-4,1962,49,160,55,156,83,CRASH_L
3365,366,3895,1935,-2,0,2,1960,48,160,55,166,88,CRASH_L
3367,366,3895,1935,-2,0,2,1960,48,160,55,170,89,RUN
3376,364,3895,1935,-2,0,0,1960,49,160,55,180,92,CRASH_L
3384,345,3895,1979,-19,0,44,1916,45,160,55,192,96,CRASH_L
3392,340,3895,1986,-5,0,7,1909,47,160,55,204,100,CRASH_L
3427,304,3899,1990,-36,4,4,1909,47,160,55,254,119,CRASH_L
3435,275,3900,2052,-29,1,62,1848,42,160,55,266,123,CRASH_L
3444,203,3900,2052,-72,0,0,1848,46,160,55,278,127,CRASH_L
3452,188,3897,2052,-15,-3,0,1845,46,160,55,290,131,CRASH_L
3460,171,3896,2052,-17,-1,0,1844,46,160,55,302,135,CRASH_L
3468,171,3897,2082,0,1,30,1815,43,160,55,314,139,CRASH_L
3470,171,3897,2082,0,1,30,1815,43,160,55,318,140,RUN
3478,203,3905,2082,32,8,0,1823,45,160,55,330,144,CRASH_L
3486,203,3905,2086,0,0,4,1819,45,160,55,342,149,CRASH_L
3495,173,3899,2080,-30,-6,-6,1819,45,160,55,354,153,CRASH_L
3503,173,3898,2094,0,-1,14,1804,44,160,55,366,157,CRASH_L
3511,295,3899,2124,122,1,30,1775,42,160,55,378,161,CRASH_L
3519,299,3896,2131,4,-3,7,1765,43,160,55,390,165,CRASH_L
3554,416,3817,2138,117,-79,7,1679,39,160,55,443,183,CRASH_L
3562,608,3816,2160,192,-1,22,1656,40,160,55,456,187,CRASH_L
3571,611,3590,2170,3,-226,10,1420,28,160,55,468,191,CRASH_L
3573,611,3590,2170,3,-226,10,1420,28,160,55,472,193,RUN
3581,611,3588,2171,0,-2,1,1417,35,160,55,484,197,CRASH_L
3589,563,3585,2193,-48,-3,22,1392,34,160,55,496,201,CRASH_L
3597,561,3588,2193,-2,3,0,1395,34,160,55,508,205,CRASH_L
3605,538,3585,2190,-23,-3,-3,1395,34,160,55,520,209,CRASH_L
3638,477,3403,2240,-10,10,0,1163,29,170,144,570,230,CRASH_L
3646,466,3403,2238,-11,0,-2,1165,29,160,55,582,236,CRASH_L
3681,462,3174,2238,-4,-229,0,936,16,170,150,639,258,RUN
3814,519,2617,2411,7,0,18,206,4,170,166,865,424,RUN
3946,613,2234,2711,5,-7,0,-477,-12,158,170,1107,664,RUN
3965,633,2214,2962,0,0,161,-748,-27,150,170,1142,702,CRASH_R
4005,682,2104,3108,21,0,149,-1004,-33,149,170,1212,782,CRASH_R
4073,682,2070,3106,2,-11,6,-1036,-26,144,170,1322,914,RUN
4081,710,2017,3234,28,-53,128,-1217,-38,144,170,1335,930,CRASH_R
4090,710,2013,3389,0,-4,155,-1376,-42,55,160,1348,946,CRASH_R
4138,707,1978,3519,0,0,124,-1541,-45,95,165,1412,1038,CRASH_R
4146,697,1984,3534,-10,6,15,-1550,-39,55,160,1422,1054,CRASH_R
4154,684,1984,3533,-13,0,-1,-1549,-38,55,160,1430,1069,CRASH_R
4162,684,1980,3536,0,-4,3,-1556,-39,55,160,1439,1084,CRASH_R
4170,708,1980,3536,24,0,0,-1556,-38,55,160,1448,1099,CRASH_R
4173,708,1980,3536,24,0,0,-1556,-38,55,160,1450,1104,RUN
4209,708,1981,3655,0,1,119,-1674,-48,55,160,1482,1168,CRASH_R
4217,638,1981,3717,-70,0,62,-1736,-46,55,160,1488,1182,CRASH_R
4225,637,1981,3718,-1,0,1,-1737,-43,55,160,1494,1196,CRASH_R
4233,637,2030,3717,0,49,-1,-1687,-39,55,160,1500,1210,CRASH_R
4241,637,2030,3718,0,0,1,-1688,-42,55,160,1506,1224,CRASH_R
4249,612,2029,3720,-25,-1,2,-1691,-42,55,160,1511,1238,CRASH_R
4257,612,2028,3720,0,-1,0,-1692,-42,55,160,1516,1252,CRASH_R
4265,659,2028,3717,47,0,-3,-1689,-42,55,160,1522,1266,CRASH_R
4273,660,2074,3717,1,46,0,-1643,-38,55,160,1527,1280,CRASH_R
4281,660,2074,3717,1,46,0,-1643,-38,55,160,1532,1292,RUN
4289,676,2079,3721,16,5,4,-1642,-41,55,160,1536,1306,CRASH_R
4297,708,2074,3721,32,-5,0,-1647,-41,55,160,1542,1320,CRASH_R
4305,710,2079,3688,2,5,-33,-1609,-39,55,160,1546,1334,CRASH_R
4341,710,2080,3681,0,1,-7,-1601,-39,55,160,1568,1393,CRASH_R
4349,710,2138,3646,0,58,-35,-1508,-33,55,160,1573,1407,CRASH_R
4357,611,2222,3634,-99,84,-12,-1412,-30,55,160,1578,1420,CRASH_R
4365,610,2222,3634,-1,0,0,-1412,-35,55,160,1582,1434,CRASH_R
4373,493,2222,3628,-117,0,-6,-1406,-34,55,160,1587,1447,CRASH_R
4381,487,2219,3568,-6,-3,-60,-1349,-32,55,160,1592,1460,CRASH_R
4384,487,2219,3568,-6,-3,-60,-1349,-32,55,160,1593,1465,RUN
4392,325,2232,3559,-162,13,-9,-1327,-32,55,160,1598,1478,CRASH_R
4400,318,2268,3554,-7,36,-5,-1286,-30,55,160,1602,1492,CRASH_R
4408,173,2268,3553,-145,0,-1,-1285,-32,55,160,1607,1505,CRASH_R
4416,169,2265,3553,-4,-3,0,-1288,-32,55,160,1612,1518,CRASH_R
4424,146,2263,3500,-23,-2,-53,-1237,-29,55,160,1616,1532,CRASH_R
4432,146,2263,3495,0,0,-5,-1232,-30,55,160,1621,1545,CRASH_R
4468,146,2316,3493,0,53,-2,-1177,-26,55,160,1641,1602,CRASH_R
4476,177,2320,3401,31,4,-92,-1081,-24,55,160,1646,1615,CRASH_R
4484,220,2380,3389,43,60,-12,-1009,-21,109,165,1650,1627,RUN
4595,272,2474,3139,27,44,-10,-665,-13,150,170,1772,1812,RUN
4727,297,2618,2887,0,5,0,-269,-6,164,170,1976,2053,RUN
4860,322,2707,2736,5,0,0,-29,0,170,170,2218,2310,RUN
4992,351,2822,2608,8,0,-30,214,6,170,164,2481,2574,RUN
5125,369,2886,2552,0,1,-4,334,8,170,162,2744,2829,RUN
5133,375,2929,2519,6,43,-33,410,13,170,162,2760,2843,CRASH_L
5257,415,2968,2502,0,-8,-7,466,11,170,150,3005,3062,RUN
5390,465,3022,2527,2,30,0,495,13,170,150,3270,3303,RUN
5522,563,3019,2549,26,0,-6,470,11,170,150,3538,3542,RUN
5655,661,2998,2598,27,-3,0,400,9,170,150,3803,3776,RUN
5781,786,1059,2663,52,-5,-4,-1604,-40,90,170,3992,4018,RUN
5914,861,1013,2422,5,-2,-85,-1409,-32,98,162,4144,4258,RUN
6047,984,1062,2169,0,0,-3,-1107,-27,103,157,4292,4488,RUN
6179,1139,1086,1982,13,0,-2,-896,-22,108,152,4444,4714,RUN
6312,1317,1100,1826,29,-10,6,-726,-18,111,147,4608,4938,RUN
6444,1602,1115,1647,7,0,-4,-532,-13,94,120,4760,5130,RUN
6577,1904,1133,2466,14,0,300,-1333,-49,55,134,4876,5289,RUN
6585,1990,1136,2470,86,3,4,0,0,0,0,4882,5297,FRONT
6645,0,0,0,0,0,0,0,0,0,0,0,0,TURN_L
7255,1990,1150,2581,1990,1150,2581,0,0,0,0,40,42,FRONT
7315,0,0,0,0,0,0,0,0,0,0,0,0,TURN_L
7915,1530,1578,2581,1530,1578,2581,-1003,-60,55,170,39,45,RUN
8019,1378,1572,1238,0,-2,0,334,8,132,116,115,153,RUN
8119,1477,1563,1275,3,13,0,288,7,124,110,223,259,RUN
8219,1689,1549,1290,60,0,4,259,6,107,95,331,364,RUN
8244,1917,1526,1278,84,-1,-3,0,0,0,0,355,387,FRONT
8304,0,0,0,0,0,0,0,0,0,0,0,0,TURN_R
9335,0,0,0,0,0,0,0,0,0,0,0,0,TURN_STUCK
9459,1924,1520,1275,1924,1520,1275,0,0,0,0,2,40,FRONT
9519,0,0,0,0,0,0,0,0,0,0,0,0,TURN_R
10583,0,0,0,0,0,0,0,0,0,0,0,0,TURN_STUCK
10707,1924,1357,1275,1924,1357,1275,0,0,0,0,0,33,FRONT
10767,0,0,0,0,0,0,0,0,0,0,0,0,TURN_R
11423,637,1079,1505,637,1079,1505,-426,-33,97,163,42,42,RUN
11459,637,695,2072,0,-384,567,0,0,97,163,69,72,LEFT_OPEN
11849,0,0,0,0,0,0,0,0,0,0,0,0,TURN_L_OPEN
12833,0,0,0,0,0,0,0,0,0,0,0,0,TURN_STUCK
12957,882,694,2327,882,694,2327,0,0,0,0,48,31,LEFT_OPEN
13377,0,0,0,0,0,0,0,0,0,0,0,0,TURN_L_OPEN
14335,0,0,0,0,0,0,0,0,0,0,0,0,TURN_STUCK
14459,683,2753,1663,683,2753,1663,1090,60,170,70,45,24,RUN
14498,391,3894,1938,-292,1141,275,1956,60,170,70,81,48,CRASH_L
14507,390,3895,1940,-1,1,2,1955,48,160,55,89,53,CRASH_L
14515,390,3897,1938,0,2,-2,1959,49,160,55,98,58,CRASH_L
14523,389,3897,1938,-1,0,0,1959,48,160,55,108,62,CRASH_L
14531,389,3898,1938,0,1,0,1960,49,160,55,117,67,CRASH_L
14539,389,3898,1938,0,0,0,1960,49,160,55,127,71,CRASH_L
14547,390,3896,1938,1,-2,0,1958,48,160,55,137,75,CRASH_L
14555,390,3896,1938,0,0,0,1958,48,160,55,147,79,CRASH_L
14563,390,3898,1937,0,2,-1,1961,49,160,55,157,84,CRASH_L
14563,390,3898,1937,0,2,-1,1961,49,160,55,157,84,RUN
14578,368,3898,1936,-22,0,-1,1962,49,160,55,177,91,CRASH_L
14586,357,3898,1936,-11,0,0,1962,49,160,55,187,96,CRASH_L
