Millis,Front,Left,Right,EncL,EncR
2083,1252,3777,986,0,0
2139,1256,3849,1095,0,0
2194,1266,3880,1032,0,0
2249,1204,3885,969,0,0
2305,1197,3884,1043,0,0
2360,1209,3862,941,0,0
2416,1184,3854,988,0,0
2471,1158,3855,1013,0,0
2526,1136,3860,1049,0,0
2582,1079,3847,1056,0,0
2637,1076,3828,1036,0,0
2692,1074,3818,1062,0,0
2748,1140,3796,1036,0,0
2803,1313,3715,1110,0,0
2859,1383,1632,1003,0,0
2914,1258,1575,984,0,0
2969,1011,1578,1088,0,0
3025,733,1576,897,0,0
3080,658,1612,973,0,0
3136,647,1609,1046,0,0
3191,582,1576,1066,0,1
3246,537,1566,1054,9,1
3302,512,1568,1034,29,5
3357,512,1556,1112,49,32
3413,537,1552,1135,80,64
3468,537,1501,1133,119,97
3523,539,1433,1189,167,145
3579,582,1331,1276,219,203
3634,586,1305,1420,279,267
3690,638,1263,1662,345,335
3745,682,1233,1770,417,407
3800,722,1379,1724,487,477
3856,708,1564,1727,557,540
3911,730,2192,1813,627,604
3967,789,2353,1862,695,674
4022,839,2421,2355,759,745
4077,883,2288,1962,820,817
4133,992,2322,1809,875,878
4188,1002,2479,1427,927,925
4244,1056,2590,1325,972,967
4299,1049,2729,1280,1004,998
4354,1054,2817,1258,1019,1008
4410,1030,2992,1300,1019,1008
4465,1016,3005,1286,1019,1008
4521,933,3030,1285,1019,1008
4576,884,3303,1278,1019,1008
4631,881,3367,1280,1019,1008
4687,882,3241,1286,1019,1008
4742,888,3179,1269,1019,1008
4798,855,3062,1278,1019,1008
4853,862,3041,1259,1019,1008
4909,865,2875,1287,1019,1008
4964,860,2814,1283,1019,1008
5019,859,2794,1284,1019,1008
5075,884,2851,1279,1019,1008
5130,865,2893,1281,1019,1008
5186,884,3119,1307,1019,1008
5241,888,3803,1285,1019,1008
5296,892,3899,1248,1019,1008
5352,885,3896,1259,1019,1008
5407,883,3891,1257,1019,1008
5463,884,3888,1232,1019,1017
5518,933,3889,1258,1025,1031
5573,920,3790,1291,1055,1036
5629,952,2749,1228,1091,1036
5684,1004,1674,1244,1129,1036
5740,1027,1434,651,1165,1033
5795,1054,2098,822,1189,1016
5850,1078,2261,1547,1212,985
5906,1262,2364,2483,1233,948
5961,2172,2357,2141,1251,910
6017,683,2357,1936,1282,864
6072,27,2249,1842,1318,822
6127,36,2182,1074,1354,775
6183,52,2080,1274,1393,727
6238,76,1870,1420,1425,690
6294,62,1751,1383,1454,656
6349,203,1630,1530,1479,631
6404,328,1540,690,1495,615
6460,482,1545,526,1495,605
6515,711,1548,576,1495,597
6571,859,1577,676,1495,589
6626,763,1598,579,1495,577
6681,619,1630,640,1495,559
6737,535,1750,840,1495,533
6792,961,1406,941,1495,493
6848,438,442,772,1499,457
6903,272,209,1121,1536,427
6958,394,176,1083,1587,403
7014,367,188,1102,1640,381
7069,438,27,1130,1693,359
7125,243,1355,1399,1755,332
7180,49,2591,1401,1815,305
7235,96,2501,1572,1861,273
7291,26,1939,1595,1891,243
7346,62,1890,1628,1919,225
7402,96,1843,1676,1932,221
7457,37,1729,1675,1932,221
7512,62,1766,1703,1932,221
7568,38,1849,1616,1931,221
7623,50,1838,1627,1931,221
7679,59,1862,1605,1931,221
7734,38,1840,1585,1931,221
7789,83,1847,1582,1931,221
7845,81,1843,1549,1931,221
7900,64,1845,1562,1931,221
7956,97,1803,1560,1931,221
8011,74,1774,1560,1941,221
8066,38,1720,1564,1973,226
8122,107,1508,1550,2017,253
8177,151,1194,1565,2076,297
8233,219,1176,1586,2146,353
8288,151,1049,1584,2223,417
8343,218,789,1586,2297,487
8399,95,692,1610,2378,560
8454,171,694,1602,2456,635
8510,171,645,1607,2529,702
8565,170,619,1612,2597,761
8621,198,921,1631,2651,812
8676,242,866,1599,2695,849
8731,230,1050,1643,2719,870
8787,245,1090,1629,2723,874
8842,391,1058,1630,2723,874
8898,485,1059,1635,2723,874
8953,194,1114,1645,2723,874
9008,191,1063,1649,2723,874
9064,269,1065,1679,2723,874
9119,175,1048,1676,2723,874
9175,194,1064,1714,2723,874
9230,193,1065,1730,2723,874
9285,193,1067,1746,2723,874
9341,206,1070,1747,2723,874
9396,193,1060,1775,2723,874
9452,169,1067,1812,2723,874
9507,143,1061,1809,2723,874
9562,170,1065,1824,2723,874
9618,173,1071,1843,2723,874
9673,172,1040,1819,2723,874
9729,194,1065,2560,2723,874
9784,219,1064,3009,2723,874
9839,191,1066,2806,2723,874
9895,180,1074,2614,2723,874
9950,149,1057,2757,2723,874
10006,176,1067,2683,2723,874
10061,146,1062,2421,2723,874
