ms,cells,f,l,r,pwmL,pwmR,event
25,0,963,2620,654,0,0,START
1699,1,2545,2887,1157,0,0,CELL
7120,1,2548,2956,1157,0,0,TURN_180
8038,2,322,2458,3641,0,0,CELL
9199,3,390,2749,2465,0,0,CELL
10351,4,787,1402,2305,0,0,CELL
11488,5,1644,1261,2195,0,0,CELL
13412,5,1664,1256,2198,0,0,TURN_180
15994,5,756,1824,3066,0,0,TIMEOUT
15998,6,756,1824,3066,0,0,CELL
17820,7,62,995,136,0,0,CELL
18388,7,53,995,134,0,0,TURN_L
18637,8,27,44,27,0,0,CELL
19769,8,27,89,27,0,0,TURN_L
20034,9,27,493,2601,0,0,CELL
20730,9,27,493,2596,0,0,TURN_L
21003,10,27,719,2507,0,0,CELL
24376,10,27,719,2501,0,0,TURN_L
24633,11,27,172,1819,0,0,CELL
25239,11,32,172,1815,0,0,TURN_L
26077,12,639,2583,2888,0,0,CELL
28660,12,1623,1524,3896,0,0,TIMEOUT
28664,13,1623,1524,3896,0,0,CELL
33396,13,1640,1525,3895,0,0,TURN_180
33680,13,2650,1592,1062,0,0,FRONT_WALL
33714,14,2650,1592,1062,0,0,CELL
34532,14,2651,798,1064,0,0,TURN_L
34790,15,32,318,30,0,0,CELL
35404,15,27,277,30,0,0,TURN_L
35653,16,27,345,43,0,0,CELL
