ms,cells,f,l,r,pwmL,pwmR,event
4,0,661,2882,531,0,0,START
1046,0,1371,2467,572,138,127,DRIVE
1248,1,1601,2401,518,0,0,CELL
1361,1,1907,2353,572,0,0,TURN_R
4193,2,385,2770,2249,0,0,CELL
5332,3,742,591,2778,0,0,CELL
5445,3,790,673,2805,0,0,TURN_L
7346,3,1492,1381,1870,113,126,DRIVE
8646,3,1852,1746,1386,124,110,DRIVE
9543,3,2415,1819,1391,116,102,WALL_STOP
9647,4,2415,1819,1391,0,0,CELL
9760,4,1443,2807,1464,0,0,TURN_R
11862,4,2456,1199,3148,70,132,WALL_STOP
11968,5,2456,1199,3148,0,0,CELL
12080,5,2894,1353,3072,0,0,TURN_L
13974,5,1161,1048,2751,0,0,TURN_L
16346,5,532,3286,2369,150,87,DRIVE
16819,6,550,2446,2833,0,0,CELL
17746,6,286,2756,2812,93,150,DRIVE
17937,7,294,2809,2651,0,0,CELL
19044,8,463,2865,2657,0,0,CELL
19346,8,549,2725,2855,91,150,DRIVE
20102,9,965,1026,2736,0,0,CELL
20212,9,1083,1021,2713,0,0,TURN_L
22146,9,619,1108,1696,122,131,DRIVE
23093,10,791,671,2378,0,0,CELL
23204,10,865,674,2470,0,0,TURN_L
25746,10,313,2868,2455,150,92,DRIVE
26259,11,342,2305,2931,0,0,CELL
27246,11,634,2868,2496,150,91,DRIVE
27427,12,640,2880,2441,0,0,CELL
28534,13,1496,2769,611,0,0,CELL
28645,13,1718,2767,672,0,0,TURN_R
30557,13,2503,2757,784,0,0,TURN_R
32946,13,317,2758,2779,108,134,DRIVE
33490,14,333,2854,2763,0,0,CELL
34346,14,405,2889,2662,150,93,DRIVE
34628,15,375,2783,2854,0,0,CELL
35785,16,479,2795,2989,0,0,CELL
36953,17,809,2831,598,0,0,CELL
37246,17,1013,2571,860,137,128,DRIVE
37790,17,2440,2220,684,100,81,WALL_STOP
37893,18,2440,2220,684,0,0,CELL
38005,18,2781,2095,695,0,0,TURN_R
40646,18,569,2919,2601,150,92,DRIVE
40938,19,466,2879,2723,0,0,CELL
42055,20,724,2689,1418,0,0,CELL
43093,21,2288,2643,745,0,0,CELL
43204,21,2673,2641,792,0,0,TURN_R
46123,22,413,2732,2734,0,0,CELL
46446,22,462,2752,2737,131,132,DRIVE
47201,23,706,1345,1422,0,0,CELL
47312,23,759,1214,1226,0,0,TURN_L
49746,23,1971,984,1372,112,127,DRIVE
50603,23,2500,1292,1396,89,102,WALL_STOP
50706,24,2500,1292,1396,0,0,CELL
50818,24,1541,1563,1600,0,0,TURN_180
50821,24,1541,1563,1600,0,0,TURN_R
55595,25,1314,2416,1085,0,0,CELL
55706,25,1483,2421,1052,0,0,TURN_R
57646,25,1187,2342,1829,128,121,DRIVE
58673,26,1061,3819,2043,0,0,CELL
59046,26,1449,3337,2362,150,87,DRIVE
59399,26,2406,2311,2908,77,127,WALL_STOP
59503,27,2406,2311,2908,0,0,CELL
59615,27,2753,2298,2977,0,0,TURN_180
59619,27,2753,2298,2977,0,0,TURN_R
64570,27,2847,3116,1983,0,0,TURN_180
64575,27,2847,3116,1983,0,0,TURN_R
68376,27,1785,1981,2078,0,0,TURN_180
68380,27,1785,1981,2078,0,0,TURN_R
72217,27,1457,1351,2178,0,0,TURN_L
74746,27,398,775,1757,124,126,DRIVE
76036,28,32,386,2734,0,0,CELL
76147,28,29,357,1824,0,0,TURN_L
78131,29,30,242,1074,0,0,CELL
78242,29,32,247,1057,0,0,TURN_L
80046,29,355,1053,85,112,133,DRIVE
80216,30,349,972,130,0,0,CELL
80328,30,361,874,168,0,0,TURN_L
82291,31,482,1212,283,0,0,CELL
82403,31,425,989,184,0,0,TURN_L
84382,32,275,1405,1288,0,0,CELL
84494,32,435,1339,1026,0,0,TURN_L
86482,33,374,1111,47,0,0,CELL
86594,33,396,1053,38,0,0,TURN_L
