ms,cells,f,l,r,pwmL,pwmR,event
142880,51,1055,1422,1448,0,0,TURN_L
146467,51,860,1578,2296,120,132,DRIVE
147000,52,1332,1391,1895,0,0,CELL
147111,52,1457,1437,1912,0,0,TURN_L
148997,52,1864,606,1706,0,0,TURN_L
152767,52,1090,3664,2258,150,80,DRIVE
153281,53,1576,2516,2702,0,0,CELL
153391,53,1780,2247,2856,0,0,TURN_180
153395,53,1780,2247,2856,0,0,TURN_R
158167,54,1637,1890,910,0,0,CELL
158278,54,1856,1750,990,0,0,TURN_R
161167,54,663,1651,3427,73,150,DRIVE
162315,55,320,2367,818,0,0,CELL
162667,55,375,2399,822,131,124,DRIVE
163352,56,602,2507,3135,0,0,CELL
164067,56,973,1214,2320,121,136,DRIVE
164439,57,1345,890,2051,0,0,CELL
164550,57,1519,867,2016,0,0,TURN_L
166457,57,1755,768,1115,0,0,TURN_L
168867,57,857,2901,2003,150,83,DRIVE
169340,58,1294,1428,1784,0,0,CELL
169451,58,1367,1393,1686,0,0,TURN_L
174503,58,1847,3041,1628,0,0,TURN_180
174506,58,1847,3041,1628,0,0,TURN_R
178213,58,1544,2010,1832,0,0,TURN_180
178217,58,1544,2010,1832,0,0,TURN_R
181958,58,1888,1491,1693,0,0,TURN_L
184467,58,605,2765,1965,142,92,DRIVE
184869,59,1006,1361,1924,0,0,CELL
184980,59,1075,1302,1859,0,0,TURN_L
189367,59,31,1443,108,120,131,DRIVE
189699,60,28,1108,228,0,0,CELL
189810,60,29,1039,222,0,0,TURN_L
191567,60,27,1756,387,125,125,DRIVE
191808,61,27,1937,414,0,0,CELL
