ms,cells,f,l,r,pwmL,pwmR,event
5,0,735,2657,866,0,0,START
1190,1,1919,2677,707,0,0,CELL
1304,1,2337,2619,716,0,0,TURN_R
3531,1,1012,2271,749,16,16,DRIVE
4720,2,342,2316,2874,0,0,CELL
5879,3,604,3125,2316,0,0,CELL
6928,4,1589,505,2467,0,0,CELL
7040,4,2002,485,2442,0,0,TURN_L
13867,4,895,521,2230,0,0,TURN_L
16531,4,1473,2047,1608,135,78,DRIVE
16984,5,1297,2207,641,0,0,CELL
17610,5,2421,2078,724,116,70,WALL_STOP
17714,6,2421,2078,724,0,0,CELL
17827,6,2755,1960,721,0,0,TURN_R
23931,6,394,2668,2460,150,150,DRIVE
24082,7,419,2711,2446,0,0,CELL
25230,8,891,738,2603,0,0,CELL
25341,8,1014,680,2609,0,0,TURN_L
28531,8,322,643,2331,119,148,DRIVE
29437,9,334,3818,2144,0,0,CELL
29931,9,634,2982,2524,150,110,DRIVE
30555,10,628,2449,3110,0,0,CELL
31331,10,287,2608,2991,110,150,DRIVE
31704,11,346,2796,2729,0,0,CELL
32631,11,586,2895,2687,150,110,DRIVE
32842,12,639,2579,2713,0,0,CELL
33889,13,2007,1020,2686,0,0,CELL
34000,13,2298,1020,2513,0,0,TURN_L
41141,13,1129,1175,2300,0,0,TURN_L
43895,13,2409,1434,1540,56,56,WALL_STOP
43998,14,2409,1434,1540,0,0,CELL
44331,14,425,1142,1672,123,127,DRIVE
45439,15,250,2269,1520,0,0,CELL
45631,15,464,2528,1570,72,72,DRIVE
46739,16,1135,1655,3007,0,0,CELL
47031,16,797,1887,3400,50,150,DRIVE
48069,17,592,2825,2609,0,0,CELL
48331,17,592,2832,2577,128,110,DRIVE
49247,18,1067,2668,669,0,0,CELL
49731,18,1829,2673,676,150,112,DRIVE
49862,18,2458,2642,707,111,70,WALL_STOP
49965,19,2458,2642,707,0,0,CELL
50077,19,2742,2619,671,0,0,TURN_R
55931,19,663,1882,3899,50,150,DRIVE
56343,20,319,2558,2870,0,0,CELL
57491,21,399,3067,2522,0,0,CELL
58660,22,473,2876,2792,0,0,CELL
59829,23,672,2805,1000,0,0,CELL
60031,23,765,2847,613,80,80,DRIVE
60918,24,2049,2540,700,0,0,CELL
61029,24,2546,2385,704,0,0,TURN_R
68031,24,319,2062,3893,50,150,DRIVE
68484,25,518,2454,3077,0,0,CELL
69331,25,724,3212,2216,150,83,DRIVE
69643,26,629,3114,1754,0,0,CELL
70631,26,1254,1922,1170,150,84,DRIVE
70822,27,1336,1722,1208,0,0,CELL
71931,27,1052,3372,1925,150,50,DRIVE
72283,28,344,3225,2247,0,0,CELL
73421,29,631,2688,3022,0,0,CELL
74469,30,1488,994,1062,0,0,CELL
74581,30,1812,1013,1085,0,0,TURN_L
80048,30,1098,788,1715,0,0,TURN_L
84531,30,1329,1665,1553,122,104,DRIVE
84662,31,1366,1597,1550,0,0,CELL
84773,31,1486,1868,1503,0,0,TURN_180
84777,31,1486,1868,1503,0,0,TURN_R
90359,31,1486,1868,1503,0,0,TURN_R
94131,31,283,2549,2381,143,150,DRIVE
94685,32,494,1866,1438,0,0,CELL
95431,32,2083,1344,1256,95,79,DRIVE
95582,32,2407,1296,1190,70,70,WALL_STOP
95686,33,2407,1296,1190,0,0,CELL
95797,33,2491,1290,1163,0,0,TURN_L
100334,33,875,555,1172,0,0,TURN_L
101831,33,36,258,361,142,115,DRIVE
102294,34,72,521,490,0,0,CELL
102405,34,101,433,498,0,0,TURN_L
103831,34,40,329,138,93,120,DRIVE
104617,35,29,442,33,0,0,CELL
104728,35,31,254,32,0,0,TURN_L
