ms,cells,f,l,r,pwmL,pwmR,event
4,0,709,2566,847,0,0,START
621,0,1165,2496,697,185,173,DRIVE
879,1,1842,2484,669,0,0,CELL
963,1,2476,2435,718,0,0,BACKUP
3908,1,2476,2435,718,0,0,TURN_R
4946,1,1506,1951,1025,160,160,TURN_R
6182,1,1677,3152,1614,160,160,TURN_180
6187,1,1677,3152,1614,160,160,TURN_R
7905,1,1735,1947,2011,160,160,BACKUP
8855,1,1735,1947,2011,0,0,TURN_180
8860,1,1735,1947,2011,0,0,BACKUP
10120,1,1735,1947,2011,0,0,TURN_R
12021,1,482,2155,3443,121,200,DRIVE
12321,1,303,2190,3198,132,200,DRIVE
12558,2,353,2364,2791,0,0,CELL
13121,2,507,3300,2051,200,122,DRIVE
13303,3,556,3337,2098,0,0,CELL
13921,3,1496,627,2148,166,181,DRIVE
14042,4,1546,625,2136,0,0,CELL
14123,4,1951,622,2095,0,0,TURN_L
15174,4,1805,631,1834,160,160,TURN_L
16521,4,340,3609,2559,200,134,DRIVE
16821,4,339,3632,2215,200,120,DRIVE
17154,5,432,3038,2531,0,0,CELL
17321,5,610,2455,2865,135,200,DRIVE
17621,5,208,2600,2975,140,200,DRIVE
17899,6,309,2770,2819,0,0,CELL
18121,6,359,3060,2463,200,138,DRIVE
18648,7,564,2697,2891,0,0,CELL
19221,7,1069,999,2378,168,184,DRIVE
19383,8,1210,1037,2314,0,0,CELL
19463,8,1440,1065,2232,0,0,TURN_L
20721,8,484,893,1405,175,173,DRIVE
21021,8,443,938,1329,176,173,DRIVE
21321,8,404,1019,1381,175,174,DRIVE
21634,9,397,1086,1518,0,0,CELL
21821,9,385,1069,1524,172,175,DRIVE
22121,9,273,1110,1427,174,174,DRIVE
22421,9,289,1122,1423,174,174,DRIVE
22721,9,253,1137,1277,175,174,DRIVE
23430,10,1732,1258,1157,0,0,CELL
23510,10,1961,1181,1274,0,0,TURN_L
25021,10,2364,3379,1384,179,100,DRIVE
25032,10,2414,3421,1380,176,100,WALL_STOP
25134,11,2414,3421,1380,0,0,CELL
25216,11,2482,3664,1412,0,0,BACKUP
30860,11,2482,3664,1412,0,0,TURN_R
31938,11,2967,2350,1683,160,160,TURN_180
31942,11,2967,2350,1683,160,160,BACKUP
32666,11,2967,2350,1683,0,0,TURN_R
34507,11,3302,2129,1583,160,160,BACKUP
35336,11,3302,2129,1583,0,0,TURN_180
35339,11,3302,2129,1583,0,0,BACKUP
36098,11,3302,2129,1583,0,0,TURN_R
37704,11,1827,2428,2204,160,160,TURN_180
37708,11,1827,2428,2204,160,160,TURN_R
39321,11,338,2689,2827,138,200,DRIVE
39700,12,368,2699,2830,0,0,CELL
40303,13,360,2691,2806,0,0,CELL
40821,13,277,2889,2620,200,140,DRIVE
41074,14,197,2754,2834,0,0,CELL
41421,14,302,2903,2601,200,140,DRIVE
41816,15,356,2708,2948,0,0,CELL
42570,16,680,1492,2899,0,0,CELL
42921,16,992,994,2556,171,184,DRIVE
43285,17,1927,1036,2293,0,0,CELL
43367,17,2601,1055,2247,0,0,BACKUP
59910,17,2601,1055,2247,0,0,TURN_L
61021,17,465,2769,1380,179,169,DRIVE
61321,17,442,3095,1332,200,126,DRIVE
61621,17,444,3899,1353,200,120,DRIVE
62330,18,486,3901,1354,0,0,CELL
62821,18,492,3900,1390,200,120,DRIVE
63121,18,499,3901,1408,200,120,DRIVE
63421,18,512,3900,1401,200,120,DRIVE
64034,19,515,3901,1403,0,0,CELL
64521,19,519,3905,1422,200,120,DRIVE
64821,19,513,3901,1403,200,120,DRIVE
65121,19,515,3901,1401,200,120,DRIVE
65799,20,515,3902,1415,0,0,CELL
65921,20,508,3902,1407,200,120,DRIVE
66221,20,503,3902,1405,200,120,DRIVE
66521,20,514,3902,1418,200,120,DRIVE
67221,20,515,3905,1406,200,120,DRIVE
67570,21,496,3900,1404,0,0,CELL
67921,21,519,3907,1426,200,120,DRIVE
68221,21,514,3901,1422,200,120,DRIVE
68921,21,515,3902,1404,200,120,DRIVE
69219,22,515,3904,1417,0,0,CELL
69321,22,513,3900,1417,200,120,DRIVE
69621,22,515,3901,1405,200,120,DRIVE
69921,22,507,3900,1418,200,120,DRIVE
70621,22,529,3901,1403,200,120,DRIVE
70990,23,516,3902,1427,0,0,CELL
72021,23,516,3742,1576,200,120,DRIVE
72350,24,480,3575,1549,0,0,CELL
72721,24,465,3540,1189,200,120,DRIVE
73021,24,467,3900,1042,200,120,DRIVE
73745,25,466,3900,1039,0,0,CELL
74121,25,466,3902,1059,200,120,DRIVE
74421,25,524,3902,1291,200,120,DRIVE
74721,25,545,3899,1406,200,120,DRIVE
75125,26,493,3886,1331,0,0,CELL
75821,26,924,2016,1687,174,163,DRIVE
76028,27,1154,1643,1954,0,0,CELL
76516,27,2404,1270,3896,100,175,WALL_STOP
76621,28,2404,1270,3896,0,0,CELL
76703,28,2464,1251,3896,0,0,BACKUP
82462,28,2464,1251,3896,0,0,TURN_L
83521,28,40,2163,3440,120,200,DRIVE
83764,29,30,2298,3247,0,0,CELL
84221,29,29,274,2834,132,200,DRIVE
84383,30,26,465,2789,0,0,CELL
84521,30,349,3337,2480,200,135,DRIVE
84821,30,224,3903,2537,200,128,DRIVE
85017,31,536,3902,1582,0,0,CELL
85221,31,1096,3901,259,200,120,DRIVE
85521,31,1002,3850,246,200,121,DRIVE
85641,32,989,3804,272,0,0,CELL
85921,32,1254,1653,553,176,170,DRIVE
86234,33,201,675,326,0,0,CELL
86321,33,135,981,258,162,182,DRIVE
86621,33,1116,103,886,177,160,DRIVE
86858,34,1706,99,679,0,0,CELL
86940,34,1828,348,676,0,0,TURN_L
87734,34,1821,322,499,160,160,TURN_L
88527,34,1662,328,756,160,160,BACKUP
89261,34,1662,328,756,0,0,TURN_L
90321,34,191,1360,820,169,177,DRIVE
90533,35,111,2710,1126,0,0,CELL
91132,36,1295,1936,1346,0,0,CELL
