ms,cells,f,l,r,pwmL,pwmR,event
0,0,811,2661,581,0,0,START
24,0,818,2686,556,185,176,DRIVE
150,0,885,2620,577,185,176,DRIVE
253,0,1030,2593,502,185,176,DRIVE
355,0,1236,2576,700,185,174,DRIVE
456,0,1647,2563,675,185,171,DRIVE
559,0,2318,2504,729,182,162,DRIVE
572,1,2477,2459,722,182,160,CELL
761,1,3251,2400,823,0,0,TURN_R
1678,1,787,2433,776,182,161,DRIVE
1779,1,791,2274,989,182,170,DRIVE
1880,1,737,2133,3432,172,175,DRIVE
2012,1,812,1964,3438,160,176,DRIVE
2116,1,911,1870,3793,100,200,DRIVE
2217,1,637,1889,3896,100,200,DRIVE
2318,1,440,2038,3818,100,200,DRIVE
2422,1,490,2133,3558,160,175,DRIVE
2523,1,491,2200,3132,173,176,DRIVE
2618,2,538,2293,2987,175,176,CELL
2626,2,535,2286,2982,175,176,DRIVE
2731,2,662,2403,2761,174,175,DRIVE
2832,2,764,2621,2694,175,176,DRIVE
2933,2,861,1457,2516,164,178,DRIVE
3037,2,1084,645,2420,173,183,DRIVE
3070,3,1143,575,2345,173,183,CELL
3142,3,1422,489,2247,170,182,DRIVE
3243,3,1922,580,2121,164,181,DRIVE
3468,3,3525,543,1617,0,0,TURN_L
4418,3,1304,842,1864,160,181,DRIVE
4520,3,1667,669,1700,160,176,DRIVE
4621,3,2299,519,1585,160,174,DRIVE
4809,3,2874,2226,1397,0,0,TURN_R
5857,3,1008,1891,2807,160,169,DRIVE
5959,3,1144,1729,3101,167,177,DRIVE
6060,3,1355,1646,3799,100,200,DRIVE
6164,3,1597,1555,3899,100,200,DRIVE
6265,3,1690,1505,3898,100,200,DRIVE
6366,3,1809,1487,3900,100,200,DRIVE
6470,3,1807,1453,3896,100,200,DRIVE
6571,3,1809,1457,3900,100,200,DRIVE
6672,3,1809,1457,3907,100,200,DRIVE
6775,3,1807,1477,3904,100,200,DRIVE
6876,3,1808,1453,3903,100,200,DRIVE
6978,3,1811,1481,3900,100,200,DRIVE
7081,3,1806,1480,3912,100,200,DRIVE
7182,3,1810,1478,3905,100,200,DRIVE
7283,3,1805,1485,3901,100,200,DRIVE
7387,3,1808,1459,3898,100,200,DRIVE
7488,3,1811,1479,3902,100,200,DRIVE
7595,3,1808,1455,3897,100,200,DRIVE
7699,3,1809,1460,3900,100,200,DRIVE
7800,3,1809,1458,3899,100,200,DRIVE
7908,3,1812,1460,3900,100,200,DRIVE
8011,3,1809,1474,3897,100,200,DRIVE
8112,3,1807,1457,3900,100,200,DRIVE
8213,3,1829,1455,3900,100,200,DRIVE
8317,3,1814,1457,3899,100,200,DRIVE
8418,3,1804,1479,3901,100,200,DRIVE
8525,3,1806,1489,3901,100,200,DRIVE
8629,3,1804,1456,3901,100,200,DRIVE
8730,3,1835,1477,3899,100,200,DRIVE
8837,3,1809,1481,3900,100,200,DRIVE
8941,3,1808,1456,3910,100,200,DRIVE
9042,3,1810,1460,3900,100,200,DRIVE
9150,3,1809,1454,3901,100,200,DRIVE
9253,3,1828,1459,3899,100,200,DRIVE
9354,3,1805,1479,3907,100,200,DRIVE
9455,3,1809,1484,3909,100,200,DRIVE
9559,3,1780,1483,3902,100,200,DRIVE
9636,4,1576,1528,3898,100,200,CELL
9663,4,1403,1605,3900,100,200,DRIVE
9764,4,905,1730,3914,100,200,DRIVE
9868,4,707,1868,3900,100,200,DRIVE
9969,4,662,2011,3897,100,200,DRIVE
10076,4,219,2110,3894,100,200,DRIVE
10180,4,270,2246,3473,160,175,DRIVE
10263,5,290,2362,3088,176,178,CELL
10284,5,318,2362,3079,177,178,DRIVE
10385,5,345,2529,2788,177,177,DRIVE
10489,5,322,2638,2628,176,179,DRIVE
10590,5,367,2867,2447,177,179,DRIVE
10698,5,343,3023,2328,176,177,DRIVE
10722,6,346,3112,2244,175,174,CELL
10800,6,391,3287,2152,175,167,DRIVE
10902,6,413,3505,2081,175,160,DRIVE
11003,6,462,3780,2012,200,100,DRIVE
11107,6,563,3847,2006,200,100,DRIVE
11208,6,637,3821,2125,200,100,DRIVE
11214,7,659,3818,2197,200,100,CELL
11311,7,765,1136,2323,165,180,DRIVE
11416,7,908,1141,2398,168,183,DRIVE
11517,7,1054,1109,2395,167,184,DRIVE
11618,7,1354,1114,2399,165,183,DRIVE
11673,8,1570,1091,2384,161,182,CELL
11720,8,1810,1115,2356,160,181,DRIVE
11961,8,3499,1045,2271,0,0,TURN_L
12917,8,589,795,2357,160,180,DRIVE
13018,8,632,571,2265,168,177,DRIVE
13119,8,709,2682,2183,173,174,DRIVE
13251,8,863,1462,2060,166,171,DRIVE
13355,8,1026,939,1959,162,180,DRIVE
13456,8,1282,621,1835,161,176,DRIVE
13557,8,1643,519,1769,160,175,DRIVE
13661,8,2199,621,1868,160,179,DRIVE
13858,8,3503,890,3235,0,0,TURN_L
14792,8,1528,1237,1682,160,181,DRIVE
14893,8,1871,1193,1559,160,174,DRIVE
15139,8,3186,3903,1286,0,0,TURN_R
16217,8,2111,1119,3169,0,0,TURN_180
17592,8,2111,1119,3169,100,100,DRIVE
17627,8,542,1451,969,163,160,DRIVE
17728,8,488,1482,794,172,173,DRIVE
17829,8,345,1505,1039,171,172,DRIVE
17960,8,369,1498,1091,172,172,DRIVE
18064,8,364,1529,1064,172,171,DRIVE
18165,8,346,1527,1042,171,171,DRIVE
18266,8,353,1552,1062,171,171,DRIVE
18370,8,342,1552,1040,171,171,DRIVE
18471,8,345,1556,1061,172,171,DRIVE
18572,8,343,1554,1041,172,171,DRIVE
18676,8,320,1557,1013,171,171,DRIVE
18777,8,345,1531,1014,171,172,DRIVE
18878,8,367,1553,2492,168,173,DRIVE
19010,8,366,1530,3632,168,179,DRIVE
19113,8,344,1528,3907,100,200,DRIVE
19214,8,366,1534,3832,100,200,DRIVE
19315,8,2180,1478,3899,100,200,DRIVE
19497,8,1832,938,1848,0,0,TURN_L
20437,8,1141,1996,1062,160,172,DRIVE
20539,8,1007,1934,946,180,164,DRIVE
20640,8,586,1877,1250,177,163,DRIVE
20852,8,2812,1259,1377,0,0,TURN_L
21812,8,538,2031,3031,160,163,DRIVE
21913,8,541,2080,3418,100,200,DRIVE
22014,8,563,2181,3889,100,200,DRIVE
22146,8,584,2057,3547,160,176,DRIVE
22250,8,466,1732,3806,161,177,DRIVE
22351,8,1923,975,3020,160,178,DRIVE
22452,8,2456,891,1479,160,179,DRIVE
22615,8,3254,1186,3854,0,0,TURN_L
23925,8,2389,3630,2127,0,0,TURN_180
25623,8,2389,3630,2127,100,100,DRIVE
25658,8,610,1699,1635,160,165,DRIVE
25759,8,959,1506,934,173,172,DRIVE
25992,8,2522,1440,873,0,0,TURN_R
27391,8,465,3441,2304,175,160,DRIVE
27493,8,544,3652,2129,200,100,DRIVE
27594,8,514,3693,2106,200,100,DRIVE
27725,8,490,3436,2301,176,164,DRIVE
27829,8,515,3181,2415,177,175,DRIVE
27930,8,562,3114,2464,177,176,DRIVE
28037,8,633,2998,2549,177,177,DRIVE
28141,8,736,2935,2503,177,177,DRIVE
28242,8,861,2845,1185,182,169,DRIVE
28343,8,1003,2779,1157,182,169,DRIVE
28447,8,1258,2681,1287,182,166,DRIVE
28548,8,1665,2597,940,182,165,DRIVE
28655,8,2413,2484,682,182,163,DRIVE
28831,8,3570,2319,677,0,0,TURN_R
29750,8,710,1988,682,182,161,DRIVE
29851,8,831,1895,677,177,167,DRIVE
29952,8,1080,1758,1087,178,167,DRIVE
30084,8,1923,1527,3131,160,172,DRIVE
30188,8,2243,1430,2377,160,172,DRIVE
30415,8,2459,1308,2011,0,0,TURN_L
31441,8,2225,2756,1381,160,164,DRIVE
31645,8,3013,3562,1260,0,0,TURN_R
32715,8,3169,1067,3900,0,0,TURN_180
34119,8,3169,1067,3900,100,100,DRIVE
34304,8,2589,1460,1608,0,0,TURN_180
35638,8,2589,1460,1608,100,100,DRIVE
35672,8,391,3587,2285,169,164,DRIVE
35773,8,386,3618,2293,176,163,DRIVE
35874,8,391,3531,2333,176,165,DRIVE
36006,8,369,3271,2437,177,174,DRIVE
36110,8,365,3175,2565,178,178,DRIVE
36211,8,366,3038,2625,178,179,DRIVE
36312,8,391,2949,2722,179,179,DRIVE
36416,8,389,2869,2762,179,179,DRIVE
36517,8,417,2796,2852,179,179,DRIVE
36618,8,440,2757,2975,180,179,DRIVE
36722,8,465,2706,3042,180,178,DRIVE
36823,8,515,2662,3131,180,178,DRIVE
36924,8,561,2595,3192,179,178,DRIVE
37027,8,634,2497,3283,176,178,DRIVE
37129,8,734,2409,3261,175,177,DRIVE
37230,8,857,2385,1637,177,165,DRIVE
37333,8,1008,2315,893,183,170,DRIVE
37434,8,1213,2266,728,183,170,DRIVE
37535,8,1526,2183,722,183,167,DRIVE
37639,8,2154,2110,735,181,160,DRIVE
37849,8,3635,1729,726,0,0,TURN_R
38762,8,766,1965,774,180,160,DRIVE
38864,8,879,1892,3241,166,174,DRIVE
38965,8,1187,1750,3901,100,200,DRIVE
39097,8,1212,1731,3897,100,200,DRIVE
39200,8,1330,1690,3897,100,200,DRIVE
39301,8,1377,1671,3896,100,200,DRIVE
39402,8,1378,1683,3895,100,200,DRIVE
39506,8,1374,1648,3895,100,200,DRIVE
39607,8,1402,1646,3891,100,200,DRIVE
39714,8,1373,1650,3896,100,200,DRIVE
39818,8,1401,1647,3904,100,200,DRIVE
39919,8,1384,1673,3896,100,200,DRIVE
40027,8,1378,1645,3894,100,200,DRIVE
40130,8,1398,1648,3901,100,200,DRIVE
40231,8,1378,1646,3907,100,200,DRIVE
40339,8,1376,1648,3896,100,200,DRIVE
40442,8,1407,1651,3895,100,200,DRIVE
40543,8,1400,1676,3902,100,200,DRIVE
40644,8,1377,1648,3899,100,200,DRIVE
40748,8,1380,1676,3896,100,200,DRIVE
40849,8,1379,1654,3895,100,200,DRIVE
40956,8,1403,1651,3898,100,200,DRIVE
41060,8,1400,1641,3894,100,200,DRIVE
41161,8,1378,1642,3893,100,200,DRIVE
41269,8,861,1800,3884,100,200,DRIVE
41372,8,27,2070,3599,100,200,DRIVE
41473,8,27,988,234,166,180,DRIVE
41581,8,27,820,179,162,181,DRIVE
41684,8,27,669,161,160,179,DRIVE
41785,8,28,593,55,160,176,DRIVE
41893,8,27,493,38,160,174,DRIVE
41996,8,27,620,82,160,176,DRIVE
42097,8,36,1089,159,160,182,DRIVE
42205,8,27,1338,130,162,179,DRIVE
42308,8,27,394,73,160,175,DRIVE
42409,8,28,343,65,160,168,DRIVE
42517,8,27,243,87,160,165,DRIVE
42620,8,27,196,117,161,163,DRIVE
42721,8,27,140,75,161,162,DRIVE
42828,8,27,242,84,162,164,DRIVE
42932,8,27,222,161,164,165,DRIVE
43033,8,52,272,91,160,165,DRIVE
43140,8,391,889,73,160,178,DRIVE
43244,8,516,493,231,160,170,DRIVE
43345,8,559,471,164,160,169,DRIVE
43452,8,664,645,84,160,172,DRIVE
43556,8,708,936,70,160,176,DRIVE
43657,8,740,994,107,160,177,DRIVE
43725,9,711,915,134,160,177,CELL
43772,9,686,936,44,160,177,DRIVE
43877,9,514,973,37,160,177,DRIVE
43978,9,513,980,56,160,178,DRIVE
44079,9,563,1188,108,160,178,DRIVE
44115,10,586,1169,208,160,179,CELL
