ms,cells,f,l,r,pwmL,pwmR,event
4,0,788,2666,560,0,0,START
483,0,867,2650,503,137,130,DRIVE
1198,1,2196,2621,729,0,0,CELL
1311,1,2678,2604,777,0,0,BACKUP
6555,1,2678,2604,777,0,0,TURN_R
8683,1,255,2331,3338,85,150,DRIVE
9458,2,384,2928,2220,0,0,CELL
10083,2,523,2673,2729,131,131,DRIVE
10546,3,711,1367,2758,0,0,CELL
10658,3,752,1076,2646,0,0,TURN_L
12683,3,2062,3331,1215,150,87,DRIVE
13067,3,2431,3905,1234,131,70,WALL_STOP
13170,4,2431,3905,1234,0,0,CELL
13282,4,3071,3784,1311,0,0,BACKUP
14061,4,3071,3784,1311,0,0,TURN_R
15863,4,1487,2745,2647,0,0,TURN_180
15867,4,1487,2745,2647,0,0,TURN_R
20083,4,237,2597,2964,93,150,DRIVE
20496,5,305,2680,2829,0,0,CELL
21383,5,169,2627,2970,94,150,DRIVE
21584,6,185,2623,2985,0,0,CELL
22672,7,388,2918,2564,0,0,CELL
23780,8,725,1122,2774,0,0,CELL
23892,8,782,1084,2771,0,0,TURN_L
25983,8,1991,1163,1386,113,124,DRIVE
27183,8,1986,1045,1383,112,126,DRIVE
28281,8,1994,1053,1385,112,126,TIMEOUT
28385,9,1994,1053,1385,0,0,CELL
28497,9,1989,1047,1382,0,0,TURN_L
30983,9,508,2297,3372,83,150,DRIVE
31486,10,802,2757,2373,0,0,CELL
32283,10,632,3127,2470,150,90,DRIVE
32645,11,1169,2806,2783,0,0,CELL
33361,11,2402,2752,2760,80,142,WALL_STOP
33466,12,2402,2752,2760,0,0,CELL
33578,12,1953,2865,2091,0,0,TURN_180
33582,12,1953,2865,2091,0,0,TURN_R
38341,13,687,2343,2912,0,0,CELL
39450,14,479,2879,2567,0,0,CELL
39683,14,568,2807,2778,150,91,DRIVE
40488,15,1043,1038,2570,0,0,CELL
40600,15,1167,1042,2494,0,0,TURN_L
42883,15,569,700,1594,125,126,DRIVE
44183,15,574,705,1595,125,126,DRIVE
44969,15,575,706,1591,125,126,TIMEOUT
45072,16,575,706,1591,0,0,CELL
45184,16,575,713,1586,0,0,TURN_L
48072,17,622,3146,2285,0,0,CELL
49232,18,995,2685,2936,0,0,CELL
50130,18,2555,2910,2628,142,75,WALL_STOP
50234,19,2555,2910,2628,0,0,CELL
50345,19,1826,2836,2739,0,0,TURN_180
50350,19,1826,2836,2739,0,0,TURN_R
54201,19,1595,1870,3038,0,0,BACKUP
59545,19,1595,1870,3038,0,0,TURN_180
59549,19,1595,1870,3038,0,0,TURN_R
62776,19,1184,1436,2778,0,0,BACKUP
74325,19,1184,1436,2778,0,0,TURN_L
76252,19,1962,1522,2255,0,0,TURN_180
76256,19,1962,1522,2255,0,0,TURN_R
79808,19,2344,1363,2144,0,0,BACKUP
80633,19,2344,1363,2144,0,0,TURN_L
82483,19,898,2730,2823,90,150,DRIVE
82715,20,875,2715,2824,0,0,CELL
83550,21,903,2709,2825,0,0,CELL
83783,21,852,2709,2848,90,150,DRIVE
84387,22,758,2723,2830,0,0,CELL
85083,22,335,2816,2722,140,102,DRIVE
85395,23,353,2886,2705,0,0,CELL
86483,24,639,2764,2901,0,0,CELL
87481,25,1565,1065,2129,0,0,CELL
87593,25,1837,1087,2056,0,0,TURN_L
89510,25,1042,1249,1965,0,0,TURN_L
91783,25,814,2343,1973,128,125,DRIVE
92367,26,489,2446,3273,0,0,CELL
93083,26,628,878,2346,125,134,DRIVE
93435,27,777,2315,2156,0,0,CELL
93547,27,832,1426,2139,0,0,TURN_L
96083,27,1608,2897,2656,150,86,DRIVE
96788,28,471,2734,2773,0,0,CELL
97383,28,651,2671,2790,122,130,DRIVE
97856,29,889,2729,717,0,0,CELL
98512,29,2434,2680,765,101,84,WALL_STOP
98617,30,2434,2680,765,0,0,CELL
98729,30,2849,2676,767,0,0,BACKUP
105763,30,2849,2676,767,0,0,TURN_R
108683,30,820,1855,3903,72,150,DRIVE
109610,31,814,1844,3904,0,0,CELL
110083,31,225,2247,3772,74,150,DRIVE
110778,32,714,2918,2401,0,0,CELL
111383,32,398,2957,2606,150,93,DRIVE
111897,33,78,2429,3324,0,0,CELL
112583,33,42,604,2155,122,124,DRIVE
112693,34,42,604,2155,0,0,CELL
112805,34,37,1183,2256,0,0,TURN_L
114583,34,27,979,1985,124,126,DRIVE
114804,35,26,1094,2243,0,0,CELL
115631,36,31,2023,1721,0,0,CELL
116528,37,30,2995,2472,0,0,CELL
116983,37,31,2639,2740,116,133,DRIVE
117385,38,30,2256,3012,0,0,CELL
118212,39,28,3418,3070,0,0,CELL
119069,40,28,2136,3342,0,0,CELL
119383,40,27,2605,3219,94,150,DRIVE
119896,41,26,2728,1017,0,0,CELL
120583,41,638,3407,3431,150,90,DRIVE
120764,42,236,3202,3613,0,0,CELL
121570,43,164,2823,44,0,0,CELL
