ms,cells,f,l,r,pwmL,pwmR,event
4,0,860,3069,678,0,0,START
563,0,945,3019,657,170,103,DRIVE
1278,1,1907,2134,1165,0,0,CELL
1392,1,1868,2520,1296,0,0,TURN_R
2895,1,2922,1986,1700,0,0,TURN_180
2901,1,2922,1986,1700,0,0,TURN_R
4611,1,2922,1986,1700,0,0,TURN_R
6129,1,2953,1304,1550,0,0,TURN_L
8063,1,538,2721,2506,154,161,DRIVE
8345,2,652,3023,2385,0,0,CELL
9163,2,1997,728,2206,86,170,DRIVE
9344,3,2323,623,2102,0,0,CELL
9456,3,2569,806,2356,0,0,TURN_L
10909,3,2576,1041,1728,0,0,TURN_L
12372,3,2074,1813,1326,0,0,TURN_R
13836,3,2904,1387,1281,0,0,TURN_L
15302,3,2185,1785,1211,0,0,TURN_R
16748,3,2924,1408,1167,0,0,TURN_L
18463,3,278,2863,2681,170,130,DRIVE
18695,4,249,2810,2760,0,0,CELL
19691,5,330,2799,2704,0,0,CELL
19863,5,384,2967,2500,56,56,DRIVE
20719,6,660,1991,2858,0,0,CELL
20829,6,717,1493,2971,0,0,TURN_L
22333,6,2414,752,1375,32,32,WALL_STOP
22436,7,2414,752,1375,0,0,CELL
22547,7,2524,699,1269,0,0,TURN_L
24063,7,1195,2314,2026,8,8,DRIVE
24235,7,2489,3354,2087,136,80,WALL_STOP
24337,8,2489,3354,2087,0,0,CELL
24448,8,2782,3517,2036,0,0,TURN_180
24452,8,2782,3517,2036,0,0,TURN_R
25870,8,2782,3517,2036,0,0,TURN_R
27296,8,3237,2985,1777,0,0,TURN_180
27299,8,3237,2985,1777,0,0,TURN_R
28428,8,3237,2985,1777,0,0,TURN_R
29644,8,1718,2791,1864,0,0,TURN_180
29647,8,1718,2791,1864,0,0,TURN_R
30990,8,1718,2791,1864,0,0,TURN_R
32763,8,637,2364,3197,111,160,DRIVE
33478,9,269,2669,2893,0,0,CELL
34163,9,327,2947,2628,170,129,DRIVE
34475,10,418,2795,2840,0,0,CELL
35502,11,715,1085,2778,0,0,CELL
35613,11,748,1067,2522,0,0,TURN_L
37084,11,2330,1085,3429,0,0,TURN_L
38563,11,215,2746,2828,127,170,DRIVE
39197,12,306,2800,2688,0,0,CELL
39863,12,290,2963,2671,170,130,DRIVE
40205,13,323,2726,2909,0,0,CELL
41222,14,619,2851,2768,0,0,CELL
42280,15,1474,1053,2168,0,0,CELL
42392,15,1529,1037,2048,0,0,TURN_L
43903,15,2358,1249,1680,0,0,TURN_L
45335,15,2428,1639,1138,0,0,TURN_R
46746,15,852,1207,470,0,0,TURN_L
48520,16,27,1922,940,0,0,CELL
48763,16,28,1989,1751,112,86,DRIVE
49468,17,28,739,2432,0,0,CELL
49579,17,836,665,2482,0,0,TURN_L
51439,18,30,188,2727,0,0,CELL
51550,18,501,182,1995,0,0,TURN_L
53269,19,32,1440,1382,0,0,CELL
53389,19,30,1473,1417,0,0,TURN_L
54663,19,28,3903,1030,170,80,DRIVE
55227,20,29,3835,1652,0,0,CELL
55963,20,32,3137,3893,138,109,DRIVE
56295,21,36,3310,3652,0,0,CELL
