time_ms,front,left,right,enc_l,enc_r,pwm_l,pwm_r,state
11,762,2705,530,0,0,180,155,1
78,766,2704,509,45,30,180,155,1
129,786,2620,579,92,54,180,153,1
183,839,2611,724,160,107,180,153,1
242,857,2572,753,254,188,180,150,1
297,984,2481,758,350,272,180,147,1
356,1078,2456,701,462,368,180,143,1
411,1165,2432,630,568,458,180,142,1
470,1332,2334,601,688,556,180,135,1
525,1494,2288,623,800,645,180,129,1
584,1738,2183,725,920,738,180,108,1
639,1966,2105,821,1029,815,179,95,1
698,2322,2033,1263,1146,885,165,50,1
753,2585,1755,1376,1246,931,151,50,1
813,2881,2338,1333,1344,970,157,50,1
867,3051,2310,1016,1428,1000,50,50,3
